zts1e	Negozio degli attrezzi di Teo
zts651e	Lavoro part-time all'Associazione d'Alchimia 6 (completato)
zts652e	Lavoro part-time all'Associazione di Alchimia 7 (inizio)
zts653e	Lavoro part-time all'Associazione d'Alchimia 7 (completato)
zts654e	Lavoro part-time all'Associazione di Alchimia 8 (inizio)
zts655e	Lavoro part-time all'Associazione d'Alchimia 8 (completato)
zts656e	Ordine segreto 1 (inizio)
zts657e	Non farmi domande! Portami l'animale che vorrei e... basta. Va bene?
zts658e	Ordine segreto 1 (completato)
zts659e	Ottimo lavoro! Ora puoi andare.
zts660e	Non farmi domande. Portami l'animale che vorrei e... basta. Va bene?
zts661e	Proteggi Monte Krem 1 (inizio)
zts662e	A Monte Krem regna il caos.
zts663e	Ci serve immediatamente l'aiuto di un avventuriero per salvare la povera tribù Koaren.
zts664e	Proteggi Monte Krem 1 (inizio)
zts665e	I Koaren ti sono grati. Grazie infinite per il tuo impegno.
zts666e	Proteggi Monte Krem 2 (inizio)
zts667e	La zona di Monte Krem è invasa da miriadi di creature terribili. Aiutaci, avventuriero!
zts668e	Proteggi Monte Krem 2 (inizio)
zts669e	<pname>, grazie a te, ora Monte Krem è una zona più sicura.
zts670e	Combattimento con i Catty (inizio)
zts671e	I Darksy sono una tribù dei Catty e supportano Kenel.
zts672e	Se vogliamo che Monte Krem resti un luogo sicuro, dobbiamo combatterli.
zts673e	Uccidi i Darksy che dominano il Dungeon Shanera!
zts674e	Combattimento con Catty (completato)
zts675e	Deve essere stata dura confrontarsi con la magia dei Darksy, vero? Apprezzo che abbia fatto tanti sforzi per aiutarci. Davvero grazie infinite.
zts676e	Il mondo ci riserva spesso situazioni sgradevoli... E i Non morti fanno parte di quella categoria!
zts677e	Fanno ribrezzo e il loro gusto in fatto di moda causa il disgusto! Semplicemente ripugnanti!
zts678e	Chiunque elimini di Non morti, riceverà una ricompensa.
zts679e	Oh! Grazie mille, <pname>! Hai pensato a tutto tu. Hai forse bisogno di qualche aiuto finanziario?
zts680e	Scenario dello Spazio-tempo
zts681e	(Come entri nello Spazio-tempo, ti assale una sensazione spiacevole)
zts682e	(L'aria è umida e collosa. Respirare diventa faticoso.)
zts683e	Che succede qui?
zts684e	Sei per caso fuori di testa? Cosa ci fai qui?
zts685e	Ci sono trappole dappertutto!
zts686e	Questo non è un posto adatto ai principianti come te!
zts687e	Hai combattuto con audacia. Non l'avrei mai creduto.
zts688e	Vuoi sapere come andartene da qui?
zts689e	Beh, devi trovare la leva e azionarla.
zts690e	Solo così si apre la porta. Vai adesso, meglio che ti sbrighi!
zts691e	E quindi ce l'hai fatta? Davvero impressionante...
zts692e	La leva si trova nella stanza successiva.
zts693e	Che stai aspettando? Muoviti, vai!
zts694e	L'uscita non deve essere lontana ormai. E di là c'è pure la leva.
zts695e	Speriamo che quella fosse la leva per la porta dell'uscita...
zts696e	Scenario 2 dello Spazio-tempo
zts697e	(Regna un silenzio sinistro in questo Spazio-tempo)
zts698e	Un silenzio di morte... Che sensazione inquietante...
zts699e	Questo posto mette i brividi. Meglio non trattenersi a lungo.
zts700e	Non riesco a vedere porte aperte.
zts701e	Forse sono in trappola?
zts702e	Ah, da quella parte. Una leva!
zts703e	Oh no, il pavimento comincia a tremare! A breve andrà di sicuro tutto in frantumi!
zts704e	Fuori di qui!
zts705e	In questa stanza non ci sono uscite. Meglio tornare indietro.
zts706e	Ah, finalmente! Ecco l'uscita.
zts707e	Bisogna andar via di qui prima che sia troppo tardi!
zts708e	Scenario 3 dello Spazio-tempo
zts709e	Hmm... due passaggi. Uno è di sicuro una trappola.
zts710e	Devo decidere quale sia il passaggio giusto.
zts711e	Sembra che qualcuno si stia divertendo a giocare al gatto e al topo.
zts712e	Due leve... Una delle due potrebbe provocare effetti... indesiderati.
zts713e	Se non decidi, la porta non si aprirà mai.
zts714e	Una luce flebile, un profumo gradevole... e...
zts715e	Scenario 4 dello Spazio-tempo
zts716e	I Servitori del demonio si dirigono verso di me! Aiuto!
zts717e	Fai attenzione, quelle bestie non conoscono la misericordia. In guardia, stanno arrivando!
zts718e	Non è ancora finita.
zts719e	Ce l'abbiamo quasi fatta! Dietro di me!
zts720e	Dobbiamo bloccare il passaggio da cui sbucano questo mostri.
zts721e	Aziona la leva per aprire l'uscita.
zts722e	Bisogna fare presto! Muori la leva, prima che sia troppo tardi!
zts723e	Scenario 5 dello Spazio-tempo
zts724e	(Ti sfiora una brezza gelida. Ti sembra di sentire delle voci.)
zts725e	I mostri... Stanno arrivando!
zts726e	Stanno tentando di uscire dallo Spazio-tempo...
zts727e	Qualcosa gli hai fatti sussultare. Sono in rivolta...
zts728e	(Vedi un ferito che giace a terra)
zts729e	Che odore strano... Non mi lascerò intimorire! Scoprirò che sta succedendo!
zts730e	Un mostro! Un mostro spaventoso! Si sta dirigendo da questa parte!
zts731e	Scappa finché puoi! Altrimenti farai la fine degli altri avventurieri che sono stati qui prima di te...
zts732e	(Perde coscienza... Probabilmente passerà del tempo prima che si riprenderà.)
zts733e	Pensavi di potermi fermare, tu, verme insignificante?!
zts734e	Argh! È troppo forte... Non riuscirò a sconfiggerlo...
zts735e	Guardia 1: Aiutate l'avventuriero!
zts736e	Guardia 2: Questo mostro sta per fare una brutta esperienza!
zts737e	Guardia 3: All'attacco!!!
zts738e	Guardia 1: La vittoria è nostra!
zts739e	Guardia 2: Gli abbiamo dato una bella lezione!
zts740e	Guardia 3: Il mostro è stato annientato!
zts741e	Non avevo mai visto un mostro così potente. C'è qualcosa che non quadra... Ma... ehi, c'è qualcuno o qualcosa nascosto lì?
zts742e	Scenario 6 dello Spazio-tempo
zts743e	Si sono aperti tutti i passaggi senza motivo apparente.
zts744e	La fenditura dello Spazio-Tempo sta vacillando. Pare sul punto di collassare.
zts745e	Dobbiamo sbrigarci.
zts746e	Lì c'è una leva!
zts747e	Forse azionandola riuscirò a uscire di qui.
zts748e	(Terminato il combattimento, noti l'uscita nascosta)
zts749e	(Pare essere l'unico passaggio che conduce all'esterno)
zts750e	Scenario 7 dello Spazio-tempo
zts751e	Argh... Qui il vento soffia forte. Riesco a malapena a reggermi in piedi.
zts752e	Questo Spazio-tempo è estremamente instabile. Che è successo qui?
zts753e	Devo fare qualcosa!
zts754e	Lì c'è un passaggio... È stretto... Ed emana un'energia misteriosa!
zts755e	Che non sia un'uscita?
zts756e	Ah, dannazione! Non si apre.
zts757e	Da qualche parte deve esserci un meccanismo per aprire la porta.
zts758e	Oh, una scultura in pietra. Ingombrante, eh... Hmmm... forse dovrei provare a spostarla.
zts759e	Il forte vento si indebolisce all'improvviso. Ora soffia una brezza leggera.
zts760e	Pare che alcuni sigilli si siano aperti.
zts761e	(Una brezza calda ti sfiora la guancia)
zts762e	D'un tratto, non spira neanche un alito di vento. Il sigillo si è aperto!
zts763e	Ora devo trovare l'uscita!
zts764e	Il passaggio è libero!
zts765e	Qualcuno deve aver realizzato questa scultura magica per curvare lo Spazio-tempo. Chiunque sia stato, sta giocando con le vite degli abitanti di questo mondo.
zts766e	Devo trovarlo e fermarlo!
zts767e	Scenario 8 dello Spazio-tempo
zts768e	Folletti in uno Spazio-tempo...
zts769e	L'abbiamo trovato!
zts770e	Prendilo! Non lasciartelo scappare!
zts771e	Argh... È riuscito a fuggire...
zts772e	È scappato!
zts773e	Accidenti... Fuggito!
zts774e	Ahhh... Mi è sfuggito!
zts775e	Quasi!
zts776e	Aiutami! Aiuto!
zts777e	Dove sei?
zts778e	Ah, sei qui... Arrivo!
zts779e	Accidenti! La prossima volta!
zts780e	Fermi!
zts781e	Sono rapidissimi... Delle schegge...
zts782e	Ti ringrazio! Mi hai salvato la vita.
zts783e	Stai bene?
zts784e	Non mi lamento... In ogni caso, questi mostriciattoli sono una seria minaccia. Dobbiamo assolutamente eliminarli!
zts785e	Li inseguirò! E subito!
zts786e	Ti darò una mano!
zts787e	Folletto 1: Stavo aspettando con ansia!
zts788e	Folletto 2: I nemici del mio amico!
zts789e	Annientiamoli!
zts790e	Uff... Per poco!
zts791e	Non è ancora finita. Guarda a est!
zts792e	A est compare un passaggio segreto.
zts793e	Quella è la loro base!
zts794e	Il tempo sta per scadere! Bisogna fare presto!
zts795e	Ci occuperemo di queste piccole piaghe un'altra volta!
zts796e	Scenario 10 dello Spazio-tempo
zts797e	(Senti uno scricchiolio atipico)
zts798e	Devo scoprire cosa sta succedendo e cercare di risolvere la situazione. Lo sento. Il mondo è sull'orlo della rovina.
zts799e	Anche tu ti trovi qui per via di questo strano rumore? Allora aiutami!
zts800e	Devi chiudere il sigillo, altrimenti i mostri travolgeranno NosVille.
zts801e	Cosa devo fare?
zts802e	Vai e chiudi i cinque passaggi. Ti darò una mano nella battaglia contro i mostri.
zts803e	Qualcuno ha rotto il sigillo e ora è esplosa l'apocalisse.
zts804e	(Lo scricchiolio si sta attenuando!)
zts805e	(Lo Spazio-tempo continua a sussultare!)
zts806e	(Si percepiscono ancora delle violente scosse)
zts807e	(Lo scricchiolio si sta attenuando!)
zts808e	(Lo scricchiolio si attenua ancora un po')
zts809e	Manca poco e poi sarà fatta!
zts810e	(Lo scricchiolio non si sente più!)
zts811e	(Hai chiuso tutti i passaggi)
zts812e	Ora vedo l'uscita. Dai, andiamo via di qui.
zts813e	Super! Ce l'hai fatta!
zts814e	Sei stato di grande aiuto. Come ti chiami?
zts815e	Mi chiamo Bob e insegno arti marziali a NosVille.
zts816e	Il caos del mondo mi ha condotto qui.
zts817e	Aspetta! Fai attenzione!
zts818e	Grazie per avermi salvato. Suppongo che qui abbiamo terminato.
zts819e	Adesso torno a NosVille. Addio.
zts820e	Spero di rivederti. Magari in altre circostanze.
zts821e	Bob è un tipo coraggioso. Quelli come lui sono ormai una razza in estinzione.
zts822e	Ho sensazione che stiamo per essere colpiti da qualcosa di violento.
zts823e	Scenario 11 dello Spazio-tempo
zts824e	Le guardie sembrano nervose.
zts825e	Non sembrano particolarmente entusiasti della loro missione.
zts826e	Forse dovrei parlare un po' con loro.
zts827e	Guardia 1: I Kovolt sono in rivolta!
zts828e	Guardia 2: Questa missione non mi piace per niente. I Kovolt ci hanno già teso delle imboscate troppo spesso.
zts829e	Guardia 3: Ah, come vorrei essere a casa nel mio letto!
zts830e	Guardia 4: Una volta finita questa missione, mi cerco un altro lavoro.
zts831e	Hanno sfondato le linee di difesa!
zts832e	Andiamo a catturare i minatori!
zts833e	Minatore Expy 1: Voi, miserabili lacchè di Lord Cuarry!
zts834e	Minatore Expy 2: La pagherete!
zts835e	Minatore Expy 1: Perché ci state attaccando?
zts836e	Minatore Expy 2: Non vi abbiamo fatto niente!
zts837e	Minatore Expy 3: Tutta colpa di Lord Cuarry!
zts838e	I minatori sembrano esausti.
zts839e	I minatori possono davvero essere considerati i soli responsabili?
zts840e	Scenario 12 dello Spazio-tempo
zts841e	L'attacco dei mostri ha avuto inizio.
zts842e	Nessuno può garantire per la tua sicurezza.
zts843e	Se non te la senti, dovresti tornare indietro. Adesso.
zts844e	Non abbiamo bisogno di codardi. Ci servono dei veri guerrieri!
zts845e	Fattelo dire dal Capitano delle Guardie di NosVille.
zts846e	Dobbiamo ritirarci! Continuare a combattere è inutile!
zts847e	La guardia di NosVille è stata pestata in modo brutale.
zts848e	La situazione a NosVille e nei dintorni dell'Avamposto Fernon è disastrosa. Solo caos e pericoli.
zts849e	Che facciamo adesso?
zts850e	Sono tempi duri. Gli avventurieri si troveranno a dover compiere ardue imprese!
zts851e	Scenario 13 dello Spazio-tempo
zts852e	Sembra che qui si siano tenuti degli scontri violenti. Ma non c'è traccia di Bob.
zts853e	Devo continuare a cercarlo. Bob deve essere qui da qualche parte.
zts854e	I mostri sono scomparsi...
zts855e	Ecco perché è tutto così calmo...
zts856e	Sai per caso dove si trova Bob?
zts857e	L'ultima volta che l'ho visto stava inseguendo alcuni mostri.
zts858e	Questa era l'ultima stanza. E anche qui non c'è nessuno.
zts859e	Bob deve essere qui da qualche parte.
zts860e	Forse dovrei azionare questa leva.
zts861e	Finalmente! Ecco Bob!
zts862e	Dei mostri l'hanno circondato!
zts863e	Devo dargli una mano!
zts864e	Mi hai salvato! Grazie mille!
zts865e	Quei mostri mi hanno teso una trappola...
zts866e	Tutto bene?
zts867e	Sì, tutto bene. Ora però devo rientrare e dare la caccia a degli altri mostri.
zts868e	Pensi che sia una buona idea? Questa volta hai avuto fortuna, ma... Ehi, torna qui!
zts869e	Corre e fa finta di non sentirmi... Questo qui mi fa sta facendo imbestialire!
zts870e	Non sta fermo un attimo!
zts871e	Scenario 14 dello Spazio-tempo
zts872e	Un gruppo di Kovolt si sta preparando all'attacco!
zts873e	I Kovolt si stanno confrontando con le guardie di Lord Cuarry.
zts874e	Di sicuro Krispo è tenuto prigioniero da qualche parte.
zts875e	Devo penetrare la linea di difesa dei Kovolt e cercare Krispo!
zts876e	Oh no, l'ingresso è crollato!
zts877e	Qui solo buio e foschia... Ah, quello è Krispo! Per fortuna è ancora vivo!
zts878e	Sei proprio tu, Krispo! Sono venuto a prenderti!
zts879e	*cough*
zts880e	Andiamo via di qui.
zts881e	*cough* Sarebbe una magnifica idea se non fosse che l'ingresso ha ceduto e ora è bloccato.
zts882e	In pratica siamo prigionieri!
zts883e	Ah, guarda là! Una fenditura nella parete. Forse riusciamo a passarci.
zts884e	*senza fiato* Non ce la faccio più. Sono esausto... Mi arrendo! Continua senza di me!
zts885e	Lì davanti c'è l'uscita! Dai su, ce l'abbiamo quasi fatta. Non ti lascio qui!
zts886e	Scenario 16 dello Spazio-tempo
zts887e	Questa è la terra del terrore e delle asperità!
zts888e	È la patria dei Demoni? Per quanto mi riguarda, potremmo essere già all'inferno!
zts889e	Soldati Hellord! A me!
zts890e	Si è creato un varco!
zts891e	Maledizione, un passaggio! I mostri arrivano da lì!
zts892e	Dobbiamo sbarrare il varco!
zts893e	Chi osa disturbarmi?
zts894e	Scenario 17 dello Spazio-tempo
zts895e	Non ci sono mostri in vista!
zts896e	Qualcuno deve averli eliminati.
zts897e	Che non sia stato il Cavaliere Tom?
zts898e	Che cosa abbiamo qui? Un piccolo, stupido avventuriero!
zts899e	Ok, questa volta chiuderò un occhio.
zts900e	Ma stai lontano da qui la prossima volta. Questa è la mia zona di caccia.
zts901e	Stai per caso ignorando il mio avvertimento?
zts902e	Diciamo che ero sovrappensiero... In ogni caso vedrai...
zts903e	Ancora tu? Aspetta un attimo, non stavi aspettando altro!
zts904e	Questo oltraggio non verrà dimenticato!
zts905e	Ehi, a dir la verità, non voglio combattere contro di te!
zts906e	Sei proprio arrogante. Un giorno ti pentirai!
zts907e	Scenario 18 dello Spazio-tempo
zts908e	Questi cavalieri hanno l'aria truce e lo sguardo tenebroso. Non mi permetteranno mai di passare.
zts909e	Questo posto cela un segreto. Questo è poco ma sicuro.
zts910e	Cavaliere 1: Resta dove sei!
zts911e	Cavaliere 2: Sparisci!
zts912e	Cavaliere 3: Non provare ad entrare!
zts913e	Cavaliere 1: Stai ignorando i nostri avvertimenti?
zts914e	Cavaliere 2: Qui tu non entri!
zts915e	(I cavalieri di Lord Cuarry hanno bloccato la via del ritorno. Devi trovare un altro passaggio!)
zts916e	(Questa stanza è pregna di un tanfo ributtante)
zts917e	Si sta avvicinando qualcosa... Qualcosa che non lascia scampo!
zts918e	Non ci piacciono i tipi curiosi. Ora la smetterai di giocare all'agente segreto!
zts919e	Vattene!
zts920e	T... Tom!
zts921e	Non ne ho voglia di seppellirti qui.
zts922e	Dato che sono un cavaliere, ubbidisci e sii gentile: fai quello che ti dico! Vattene! Anzi, se ci riesci, prendi il volo e scompari!
