zts1e	Neuer Gegenstand
zts472e	Mit diesem Gegenstand kannst du[n]deinen Partner in eine Perle[n]setzen und diese im Inventar[n]oder im Warenhaus aufbewahren.[n]Partner, die in Perlen gesetzt[n]wurden, können mit anderen[n]Spielern getauscht werden.[n][n][Anleitung][n]Wähle deinen Partner an und klicke[n]zweimal auf die Perle.[n][n]Hinweis:[n]Durch die Aufbewahrung des Partners[n]in dieser Perle wird sein Name[n]verloren gehen. Sollte dein[n]Partner ein höheres Level haben[n]als du, kannst du ihn zwar[n]im Miniland freilassen, aber nicht[n]mit auf Missionen nehmen.[n][n]
zts473e	Spezialistenkartenhalter
zts474e	Dient zur Aufbewahrung einer Spezialistenkarte.[n]Kann unter Spielern getauscht werden.[n][Anleitung][n]Lege die aufzubewahrende Spezialistenkarte zuerst an.[n]Mache anschließend einen Doppelklick auf den Kartenhalter, um die Spezialistenkarte von deinem Körper zu lösen und in diesem aufzubewahren.[n]Um eine Spezialistenkarte wieder herauszunehmen, musst du erneut doppelklicken.[n][Hinweis][n]Falls die Spezialistenkarte noch ausstehende Skillpunkte hat, musst du diese zuvor verteilen, um die Karte erfolgreich unterzubringen.[n]Der Kartenhalter verschwindet, wenn du die Spezialistenkarte wieder herausnimmst.[n][n]
zts475e	Amulett der NosMall-Eröffnung
zts476e	Scrammer
zts477e	Kris
zts478e	Winslet-Armbrust
zts479e	Balenty-Armbrust
zts480e	Plaz-Zauberwaffe
zts481e	Zauberwaffe des Lichts
zts482e	Wächterblick
zts483e	Lichttunika
zts484e	Tapferer Verteidiger
zts485e	Großartiger Verteidiger
zts486e	Flamberge
zts487e	Ein mächtiges Schwert, das großen Schaden verursachen kann.[n][n]
zts488e	Bogen der Macht
zts489e	Bei bestimmten Monster verursacht dieser Bogen erheblichen Schaden.[n][n]
zts490e	Kais Zauberstab
zts491e	Wird von herausragenden Magiern benutzt.[n][n]
zts492e	Raidbox
zts493e	Was befindet sich in der Truhe?[n]Finde es mit einem Doppelklick heraus.[n]Wenn du ein Ausrüstungsitem bekommst, erhält es dasselbe Seltenheitslevel wie die Truhe.[n][n]
zts494e	Edle Oriharconhalskette
zts495e	Antike Oriharconhalskette
zts496e	Edler Oriharconring
zts497e	Antiker Oriharconring
zts498e	Edler Oriharconarmreif
zts499e	Antiker Oriharconarmreif
zts500e	Antike Kristallhalskette
zts501e	Antiker Kristallring
zts502e	Antiker Kristallarmreif
zts503e	Antike Diamanthalskette
zts504e	Antiker Diamantring
zts505e	Antiker Diamantarmreif
zts506e	Flammenhandschuhe
zts507e	Sturmhandschuhe
zts508e	Gotteshandschuhe
zts509e	Todeshandschuhe
zts510e	Feuerschuhe
zts511e	Wellenschuhe
zts512e	Schuhe des Leuchtens
zts513e	Schattenschuhe
zts514e	Radals roter Ring
zts515e	Einer der beiden Ringe, die sich zu Radals Lebzeiten in seinem Besitz befanden. Dieser Gegenstand wird für wichtige Missionen verwendet.[n][n]
zts516e	Radals blauer Ring
zts517e	Unlösliche Handschuhe
zts518e	Diese Handschuhe sind säureresistent[n]und schlecht oxidierbar.[n][n]
zts519e	Einfache goldene Halskette
zts520e	Veredelte goldene Halskette
zts521e	Silberring
zts522e	Modischer Armreif
zts523e	Antike Manohalskette
zts524e	Antiker Manoring
zts525e	Antiker Manoarmreif
zts526e	Edle Manohalskette
zts527e	Edler Manoring
zts528e	Edler Manoarmreif
zts529e	Luxuriöser Manoarmreif
zts530e	Katzenaugenhalskette
zts531e	Katzenaugenring
zts532e	Katzenaugenarmreif
zts533e	Edle Katzenaugenhalskette
zts534e	Edler Katzenaugenring
zts535e	Edler Katzenaugenarmreif
zts536e	Luxuriöse Katzenaugenhalskette
zts537e	Luxuriöser Katzenaugenarmreif
zts538e	Kristallhalskette
zts539e	Kristallring
zts540e	Kristallarmreif
zts541e	Edle Kristallhalskette
zts542e	Edler Kristallring
zts543e	Edler Kristallarmreif
zts544e	Luxuriöser Kristallring
zts545e	Luxuriöser Kristallarmreif
zts546e	Diamantenhalskette
zts547e	Diamantring
zts548e	Diamantenarmreif
zts549e	Edle Diamanthalskette
zts550e	Edler Diamantring
zts551e	Edler Diamantarmreif
zts552e	Luxuriöse Diamanthalskette
zts553e	Luxuriöser Diamantenring
zts554e	Luxuriöser Diamantenarmreif
zts555e	Leichte Handschuhe
zts556e	Beständig dennoch leichter Handschuh [n] leicht verbessertes Meiden [n][n]
zts557e	Seidenhandschuhe
zts558e	Sanfte und luxuriöse Handschuhe, erfüllt von einem magischem Geist.[n]Erhöht die Magieangriffskraft.[n][n]
zts559e	Magische Handschuhe
zts560e	Erfüllt mit einem magischem Geist, erhöhen sie die MP.[n][n]
zts561e	Helle Handschuhe
zts562e	Haben eine höhere Nahkampfverteidigung als andere Handschuhe.[n][n]
zts563e	Schnelle Handschuhe
zts564e	Du bist windschnittig und kannst dich schneller bewegen durch verminderten Luftwiderstand.[n][n]
zts565e	Kampfhandschuhe
zts566e	Haben eine höhere Nahkampfverteidiungskraft als gewöhnliche Handschuhe.[n][n]
zts567e	Kettenhandschuhe
zts568e	Sehr verbreitet unter Schwertkämpfern.[n][n]
zts569e	Blitzhandschuhe
zts570e	Leichte Stiefel
zts571e	Leichte Stiefel, die bis zum Knöchel reichen.[n][n]
zts572e	Schnelle Schuhe
zts573e	Diese Schuhe erhöhen deine Geschwindigkeit,[n]haben aber keinen Effekt auf deine Verteidigungskraft.[n][n]
zts574e	Kettenstiefel
zts575e	Stiefel mit hoher Verteidigungskraft.[n][n]
zts576e	Lederstiefel
zts577e	Diese Stiefel wurden bekanntlich aus der Haut eines alten Dämons gefertigt[n]und absorbieren magische Angriffe.[n][n]
zts578e	Stahlstiefel
zts579e	Schutzstiefel
zts580e	Windstiefel
zts581e	Schwere Metallstiefel
zts582e	Topfhandschuhe
zts583e	Schützen deine Hände vor heißen Objekten.[n][n]
zts584e	Glänzende Handschuhe
zts585e	Du wirst beschützt vom Lichtgeist.[n][n]
zts586e	Handschuhe des Windes
zts587e	Fühlt sich an, als ob eine milde Brise über deine Hand bläst. [n] Enthält die Kraft des Meidens [n][n]
zts588e	Handschuhe der Resistenz
zts589e	Handschuhe des Schattens
zts590e	Voll dunkler Energie.[n][n]
zts591e	Schwarze Schuhe
zts592e	Wasserschuhe
zts593e	Verleihen zusätzliche Wasserresistenz.[n][n]
zts594e	Punkstiefel
zts595e	Durchdrungen von der Energie des Lichts.[n][n]
zts596e	Flammenstiefel
zts597e	Voller Feuerenergie.[n][n]
zts598e	Stiefel der tiefen See
zts599e	Umhüllt dich mit Dunkelenergie[n]und erhöht die Lichtresistenz.[n][n]
zts600e	Feuerfee
zts601e	Elementfee[n][n]Je länger du diese Fee im Kampf bei dir trägst, desto stärker wird ihre elementare Angriffskraft.[n](im Kampf mit Monstern +-15 Level)[n]Diese wird der Elementstärke deines Charakters hinzugefügt.[n]Die Fee kann deine Elementarkraft um bis zu 50% erhöhen.[n][n]
zts602e	Wasserfee
zts603e	Lichtfee
zts604e	Schattenfee
zts605e	Pijama-Spezialistenkarte
zts606e	Hey! Lass uns das Leben genießen![n]Warum so besorgt? Genieß es einfach![n][n]
zts607e	Krieger-Spezialistenkarte
zts608e	Spezialistenkarte - Feuerelement[n][n]Mit der Macht des Schwertes beherrschst du das Schlachtfeld. Die feurige Kampfkunst dieses kühnen Schwertkämpfers ist den stärksten Gegnern im Nahkampf überlegen.[n][n]
zts609e	Ninja-Spezialistenkarte
zts610e	Spezialistenkarte - Wasserelement[n][n]Die Augen dieses Schwertkämpfers sind mit Hass erfüllt. Was auch immer den Weg dieses starken Kriegers kreuzt, wird Bekanntschaft mit der scharfen Schneide seines mächtigen Schwertes machen.[n][n]
zts611e	Jäger-Spezialistenkarte
zts612e	Spezialistenkarte - Wasserelement[n][n]Er eröffnet die Schlacht, indem er einen tödlichen Pfeilregen auf seine Gegner niederprasseln lässt. Durch seine einzigartige Geschwindigkeit sieht der Feind den Angriff nicht auf sich zukommen.[n][n]
zts613e	Schurken-Spezialistenkarte
zts614e	Spezialistenkarte - Schattenelement[n][n]Hinter der Maske versteckt sich ein gemeiner und böser Krieger von blutrünstiger und gefährlicher Natur. Gegner, die sich in seiner Nähe aufhalten, sollten ihn niemals aus den Augen verlieren.[n][n]
zts615e	Feuermagier-Spezialistenkarte
zts616e	Spezialistenkarte - Feuerelement[n][n]Diese Magier tragen das Symbol der Zerstörung und des Untergangs. Ihre vernichtende Kraft erhalten sie aus den stärksten und mächtigsten Zaubersprüchen des Feuers.[n][n]
zts617e	"Heiliger Magier"-Spezialistenkarte
zts618e	Spezialistenkarte - Lichtelement[n][n]Der Wächter des Lichts, der Gebote und des Ausgleichs. Dieser weise Magier handelt nach Erenias göttlichem Willen und verwendet die Macht des Guten, um seine Feinde zu übewältigen.[n][n]
zts619e	Schwert für Partner
zts620e	Bogen für Partner
zts621e	Zauberstab für Partner
zts622e	Rüstung für Partner (Magie)
zts623e	Rüstung für Partner (Fernkampf)
zts624e	Rüstung für Partner (Nahkampf)
zts625e	Zughebel (unbenutzt)
zts626e	Alte Truhe
zts627e	Kleiner Heiltrank
zts628e	Sowohl du als auch dein NosMate profitieren von der Wirkung des Tranks.[n][n]
zts629e	Mittlerer Heiltrank
zts630e	Großer Heiltrank
zts631e	Kleiner Manatrank
zts632e	Mittlerer Manatrank
zts633e	Großer Manatrank
zts634e	Kleiner Erholungstrank
zts635e	Mittlerer Erholungstrank
zts636e	Großer Erholungstrank
zts637e	Riesiger Erholungstrank
zts638e	Saat der Macht
zts639e	Kann zum Beispiel in folgenden Situationen benutzt werden: [n] 1. Um nach dem Wiederbeleben zur letzten Position zurückzukehren (10 Saat der Macht) [n] 2. Um Timespacesteine zu betreten (angezeigte Anzahl) [n] 3. Um NosMates nach deren Tod wiederzubeleben (5 Saat der Macht) [n] 4. Um die Mission in einem Timespacestein aufzugeben (5 Saat der Macht) [n][n]
zts640e	Gillionstein
zts641e	Kann veredelt werden, um einen Seelenstein, Cellon und einen Kristall zu erhalten.[n]Um es zu veredeln, kaufe einen Veredler und doppelklicke darauf.[n][n]
zts642e	Cellapuder
zts643e	Wird für folgendes benötigt:[n] 1. Verbesserung deiner Ausrüstung[n] 2. Verbesserung deines Seelensteins, Cellons und Kristalls[n][n]
zts644e	Seelenstein
zts645e	Wird zum Verbessern der Ausrüstung[n]von +1 bis +5 benutzt.[n][n]
zts646e	Vollkommener Seelenstein
zts647e	Wird zum Verbessern der Ausrüstung[n]von +6 bis +10 benutzt.[n][n]
zts648e	Cellon (Level 1)
zts649e	Fügt Accessoires eine Level 1-Option hinzu.
zts650e	Cellon (Level 2)
zts651e	Fügt Accessoires eine Level 2-Option hinzu.
zts652e	Cellon (Level 3)
zts653e	Fügt Accessoires eine Level 3-Option hinzu.
zts654e	Cellon (Level 4)
zts655e	Fügt Accessoires eine Level 4-Option hinzu.
zts656e	Cellon (Level 5)
zts657e	Fügt Accessoires eine Level 5-Option hinzu.
zts658e	Cellon (Level 6)
zts659e	Fügt Accessoires eine Level 6-Option hinzu.
zts660e	Cellon (Level 7)
zts661e	Fügt Accessoires eine Level 7-Option hinzu.
zts662e	Cellon (Level 8)
zts663e	Fügt Accessoires eine Level 8-Option hinzu.
zts664e	Cellon (Level 9)
zts665e	Fügt Accessoires eine Level 9-Option hinzu.
zts666e	Cellon (Level 10)
zts667e	Fügt Accessoires eine Level 10-Option hinzu.[n][n]
zts668e	Donnerflusssand
zts669e	Wird zur Herstellung verschiedener Items benötigt.[n][n]
zts670e	Neumondkristall
zts671e	Wird im Miniland benutzt.[n]Verwende [Werkzeug für Edelsteine, Cellon und Kristalle], um den Kristall zu spalten.[n][n]
zts672e	Halbmondkristall
zts673e	Der Vollmondkristall ist ein wichtiges Material für das Verbessern von Spezialistenkarten.[n][n]
zts674e	Vollmondkristall
zts675e	Rotes Kristallfragment
zts676e	Wird zur Herstellung benutzt.[n][n]
zts677e	Blaues Kristallfragment
zts678e	Weißes Kristallfragment
zts679e	Schwarzes Kristallfragment
zts680e	Werkzeug für Abenteurer
zts681e	Wird zur Herstellung von Gegenständen für Abenteurer verwendet.[n]Doppelklicke darauf, um die Liste einzusehen.[n][n]
zts682e	Seelensteinveredler
zts683e	Benutze Gillionsteine, um Cellapuder und Seelensteine zu bekommen.[n]Cellapuder und Seelensteine werden benutzt, um Waffen und Rüstungen zu verbessern.[n]Doppelklicke zum Benutzen.[n][n]
zts684e	Cellonveredler
zts685e	Benutze Gillionsteine, um Cellapuder und Cellon zu bekommen.[n]Cellapuder wird benutzt, um Waffen und Rüstungen zu verbessern.[n]Cellon wird verwendet, um zusätzliche Optionen zum Zubehör hinzufügen.[n]Doppelklicke zum Benutzen.[n][n]
zts686e	Kristallveredler
zts687e	Benutze Gillionsteine, um Cellapuder und Kristall zu bekommen.[n]Cellapuder wird benutzt, um Waffen und Rüstungen zu verbessern.[n]Kristall wird im Miniland und zur Produktion benutzt.[n]Doppelklicke zum Benutzen.[n][n]
zts688e	Werkzeug für Schwertkämpfer
zts689e	Wird zur Herstellung von Gegenständen für Schwertkämpfer verwendet.[n]Doppelklicke darauf, um die Liste einzusehen.[n][n]
zts690e	Werkzeug für Bogenschützen
zts691e	Wird zur Herstellung von Gegenständen für Bogenschützen verwendet.[n]Doppelklicke darauf, um die Liste einzusehen.[n][n]
zts692e	Werkzeug für Magier
zts693e	Wird zur Herstellung von Gegenständen für Magier verwendet.[n]Doppelklicke darauf, um die Liste einzusehen.[n][n]
zts694e	Normale Truhe
zts695e	Luxuriöse Truhe
zts696e	Geheime Truhe
zts697e	Zughebel (benutzt)
zts698e	Gold
zts699e	Werkzeug für Accessoires
zts700e	Wird zur Herstellung verschiedener Accessoires verwendet.[n]Doppelklicke darauf, um die Liste einzusehen.[n][n]
zts701e	Geheimnisvolle Kristallkugel (unbenutzt)
zts702e	Geheimnisvolle Kristallkugel (benutzt)
zts703e	Bonustruhe
zts704e	Knopf (unbenutzt)
zts705e	Knopf (benutzt)
zts706e	Holzhebel (unbenutzt)
zts707e	Holzhebel (benutzt)
zts708e	Teufelsskulptur (unbenutzt)
zts709e	Teufelsskulptur (benutzt)
zts710e	Versiegelter Schlüssel
zts711e	Dukes Forschungsmaterialien
zts712e	Dies sind die Forschungsmaterialien des legendären Zauberers Duke.[n]Ihre Bedeutung ist noch unklar.[n][n]
zts713e	Artefakt
zts714e	Verstärkt den Angriff.
zts715e	Verstärkt die Verteidigung.
zts716e	Verstärkt die Nahangriffsverteidigung.
zts717e	Verstärkt die Fernangriffsverteidigung.
zts718e	Verstärkt die Magieverteidigung.
zts719e	Manatruhe
zts720e	Starke Energie
zts721e	Erholungstruhe
zts722e	Zufälliger Effekt
zts723e	NosMates Wiedergeburt
zts724e	Beschleunigen
zts725e	Mächtiges Schild
zts726e	Werkzeug für Edelsteine, Cellon und Kristalle
zts727e	Kann Seelensteine, Cellon jeden Levels und Kristalle verbessern.[n][n]
zts728e	Werkzeug für Rohmaterialien
zts729e	Verbessert die Qualität der Rohmaterialien Metall, Holz, Stoff und Leder.[n][n]
zts730e	Heilkapsel
zts731e	Miniland-Klick
zts732e	Riesiger Erholungstrank
zts733e	NotUse
zts734e	SpP-Trank
zts735e	Erhöht die SpP um 10.000 Punkte.[n][n]
zts736e	NotUse
zts737e	NotUse
zts738e	Picknickkorb
zts739e	Bis zu drei Leute können tanzen.[n][n]
zts740e	Barbecue
zts741e	Bis zu acht Leute können tanzen.[n][n]
zts742e	Werkzeug für Handschuhe und Schuhe
zts743e	Kleiner Wegweiser
zts744e	Du kannst einen Wegweiser aufstellen, damit andere Spieler 60 Minuten lang dein Miniland betreten können.[n]Der Wegweiser sieht nicht besonders hochwertig aus.[n][n]
zts745e	Großer Wegweiser
zts746e	Du kannst einen Wegweiser aufstellen, damit andere Spieler 60 Minuten lang dein Miniland betreten können.[n]Der hübsche Wegweiser hat die Form eines Hauses.[n][n]
zts747e	Wilde Klangblume
zts748e	Klangblume
zts749e	Startet eine Klangblumen-Quest.[n][n]
zts750e	Goldbelohnung
zts751e	Nach erfolgreichem Abschluss erhältst du eine bestimmte Menge Gold.[n][n]
zts752e	EXP-Belohnung
zts753e	Nach erfolgreichem Abschluss erhältst du eine bestimmte Anzahl Erfahrungspunkte.[n][n]
zts754e	Joberfahrungsbelohnung
zts755e	Nach erfolgreichem Abschluss erhältst du eine bestimmte Anzahl Joberfahrungspunkte.[n][n]
zts756e	Rufbelohnung
zts757e	Nach erfolgreichem Abschluss wird dein Ruf erhöht.[n][n]
zts758e	Timespacestück (Gruppe)
zts759e	Doppelklicke, um die Mission zu überprüfen.[n][n]
zts760e	Timespacestück (Individuum)
zts761e	Doppelklicke, um die Mission zu überprüfen.[n][n]
zts762e	Timespacestück (Raid)
zts763e	Timespacestück (Jagd)
zts764e	Timespacestück (Labor)
zts765e	Bonuspunkte
zts766e	Geheimnisvolle Box
zts767e	Hühnergefieder
zts768e	Blauer Cuby
zts769e	Verlassener Schädel
zts770e	Spinnentruppen - Teil 2
zts771e	Der Timespace, um das Siegel der schwarzen Riesenspinne zu bekommen.[n]Levellimit: 60-69[n]Damit kannst du sofort eintreten.[n][n]
zts772e	Anzug für Bob
zts773e	Die Geschwindigkeit deines[n]Partners erhöht sich durch diesen[n]Gegenstand um zwei Punkte.[n]Außerdem verleiht dieser Anzug[n]deinem Partner ein besonderes[n]Aussehen.[n][n]Anleitung:[n]Wähle deinen Partner an und klicke[n]zweimal auf den Anzug in deinem[n]Inventar. Solltest du deinen Partner[n]in eine Perle sperren wird dieser[n]Gegenstand verloren gehen.[n][n]
zts774e	Ketten der Vergangenheit - Teil 2
zts775e	Der Timespace, um das Ginseng-Siegel zu bekommen.[n]Levellimit: 40-49[n]Damit kannst du sofort eintreten.[n][n]
zts776e	Ketten der Vergangenheit - Teil 3
zts777e	Kuchen
zts778e	Kuchen für das Erntedankfest.[n]Sammle 10 dieser Leckereien und bringe sie zu Mimi Mentor, um einen Schatz zu erhalten.[n][n]
zts779e	N (Event)
zts780e	Du kannst es während dem Event von modifizierten Imps erhalten.[n]Es kann bei Dr. Atzenstein eingetauscht werden.[n]Imps halten sich gerne an magischen Orten auf...[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n]
zts781e	O (Event)
zts782e	Du kannst es während dem Event von modifizierten Jellys erhalten.[n]Es kann bei Dr. Atzenstein eingetauscht werden.[n]Jellys sind besonders gerne an Orten mit viel Sand...[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts783e	S (Event)
zts784e	Du kannst es während dem Event von modifizierten Hamstern erhalten.[n]Es kann bei Dr. Atzenstein eingetauscht werden.[n]Hamster fühlen sich in uralten unterirdischen Gemäuern besonders wohl...[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts785e	! (Event)
zts786e	Du kannst es während dem Event von modifizierten Wölfen erhalten.[n]Es kann bei Dr. Atzenstein eingetauscht werden.[n]Wölfe durchstreifen gerne Wälder und Gebirge...[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts787e	Dukes Forschungsergebnisse
zts788e	Es handelt sich um umfassende Aufzeichnungen von Dukes Forschung.[n]Der komplizierte Inhalt wurde noch nicht ganz entschlüsselt.[n][n]
zts789e	Lilie der Reinheit
zts790e	Spezialistenkarte des Aufladens
zts791e	Medaille von Erenia
zts792e	Wenn du sie benutzt, bist du für 30 Tage mit Folgendem ausgestattet:[n][Haupteffekt][n]Den Kategorien "Ausrüstung", "Haupt" und "Andere" werden 8 weitere Plätze hinzugefügt, also ingesamt 24 weitere Plätze.[n](In Kombination mit einer Medaille des Abenteurers werden insgesamt 32 Plätze hinzugefügt.)[n][Nebeneffekt][n]Erhöht die Kampf- und Joberfahrungspunkte sowie die Erfahrungspunkte von Haustieren und Partnern um jeweils 15%.[n](In Kombination mit der Medaille des Abenteurers werden die Erfahrungspunkte um jeweils 30% erhöht.)[n]Erhöht den Goldgewinn und den Ruf um jeweils 20%.[n]Kann nicht zusammen mit dem Abenteurerrucksack genutzt werden.[n]
zts793e	Medaille des Abenteurers
zts794e	Wenn du sie benutzt, bist du für 30 Tage mit Folgendem ausgestattet:[n][Haupteffekt][n]Den Kategorien "Ausrüstung", "Haupt" und "Andere" werden 4 weitere Plätze hinzugefügt, also ingesamt 12 weitere Plätze.[n](In Kombination mit einer Medaille von Erenia werden insgesamt 32 Plätze hinzugefügt.)[n][Nebeneffekt][n]Erhöht die Kampf- und Joberfahrungspunkte sowie die Erfahrungspunkte von Haustieren und Partnern um jeweils 15%.[n](In Kombination mit der Medaille von Erenia werden die Erfahrungspunkte um jeweils 30% erhöht.)[n]Kann nicht zusammen mit dem Abenteurerrucksack genutzt werden.[n]
zts795e	Vorstellung
zts796e	Stelle dich mit bis zu 60 Zeichen selbst vor.[n][Anleitung][n]Wähle das Item mit Doppelklick aus[n]und füge deinen Text ein.[n]Überprüfe deine Nachricht[n]durch Rechtsklick auf das Portrait deines Charakters.[n][n]
