zts1e	Teos Werkzeugladen
zts617e	Beschütze NosVille 2 (Abgeschlossen)
zts618e	Du hast uns wirklich sehr geholfen. Ich erwarte, dass du uns auch weiterhin so tatkräftig unterstützen wirst.
zts619e	Räume den Tempel auf! 1 (Start)
zts620e	Wir können den Fernonvorposten nicht mehr betreten, weil es dort viel zu gefährlich ist. Wir brauchen die Hilfe eines Abenteurers!
zts621e	Räume den Tempel auf! 1 (Abgeschlossen)
zts622e	Räume den Tempel auf! 2 (Start)
zts623e	Immer mehr mächtige Monster dringen zum Tempel vor! Du bist unsere einzige Hoffnung, Abenteurer!
zts624e	Räume den Tempel auf! 2 (Abgeschlossen)
zts625e	Es war sicher nicht leicht, gegen die Monster zu kämpfen, oder? Du hast dich tapfer geschlagen!
zts626e	Beschütze die Minen! (Start)
zts627e	Hey! Hilf mir! Wir müssen die Kovolt-Minenarbeiter vertreiben!
zts628e	Vielen Dank! Du warst mir eine große Hilfe.
zts629e	Kovoltschlacht 1 (Start)
zts630e	Es ist Calvin. Du wirst künftig eine Belohnung vom NosCamp erhalten, wenn du Soldaten der Koaren gefangennimmst.
zts631e	Interessierte Abenteurer sollten sich das nicht entgehen lassen.
zts632e	Kovoltschlacht 1 (Abgeschlossen)
zts633e	Du hast gute Arbeit geleistet.
zts634e	Kovoltschlacht 2 (Start)
zts635e	Es ist Calvin. Du wirst künftig eine Belohnung vom NosCamp erhalten, wenn du Soldaten der Kenko gefangennimmst.
zts636e	Kovoltschlacht 2 (Abgeschlossen)
zts637e	Nebenjob beim Alchemieverband 1 (Start)
zts638e	Hehe ... Hallo! Ich suche jemanden, der mir etwas bringen kann, das ich dringend brauche. Hehe ...
zts639e	Nebenjob beim Alchemieverband 1 (Start)
zts640e	Hehe ... Danke. Aber warum bringst du mir das?
zts641e	Ach, richtig! Vielen Dank. Hehe ...
zts642e	Nebenjob beim Alchemieverband 1 (Start)
zts643e	Nebenjob beim Alchemieverband 2 (Abgeschlossen)
zts644e	Nebenjob beim Alchemieverband 3 (Start)
zts645e	Nebenjob beim Alchemieverband 3 (Abgeschlossen)
zts646e	Nebenjob beim Alchemieverband 4 (Start)
zts647e	Nebenjob beim Alchemieverband 4 (Abgeschlossen)
zts648e	Nebenjob beim Alchemieverband 5 (Start)
zts649e	Nebenjob beim Alchemieverband 5 (Abgeschlossen)
zts650e	Nebenjob beim Alchemieverband 6 (Start)
zts651e	Nebenjob beim Alchemieverband 6 (Abgeschlossen)
zts652e	Nebenjob beim Alchemieverband 7 (Start)
zts653e	Nebenjob beim Alchemieverband 7 (Abgeschlossen)
zts654e	Nebenjob beim Alchemieverband 8 (Start)
zts655e	Nebenjob beim Alchemieverband 8 (Abgeschlossen)
zts656e	Geheimauftrag 1 (Start)
zts657e	Stell mir keine Fragen! Bring mir einfach das Tier, das ich haben möchte. Okay?
zts658e	Geheimauftrag 1 (Abgeschlossen)
zts659e	Gut gemacht! Du kannst jetzt gehen.
zts660e	Stell mir keine Fragen. Bring mir einfach das Tier, das ich haben möchte. Okay?
zts661e	Beschütze Mount Krem 1 (Start)
zts662e	Am Mount Krem herrscht das Chaos.
zts663e	Wir brauchen dringend die Hilfe eines Abenteurers, um den elenden Stamm der Koaren zu retten.
zts664e	Beschütze Mount Krem 1 (Start)
zts665e	Die Kovolts wissen deine Hilfe zu schätzen. Hab vielen Dank für deine Mühen.
zts666e	Beschütze Mount Krem 2 (Start)
zts667e	Am Mount Krem halten sich sehr viele schreckliche Kreaturen auf. Bitte hilf uns, Abenteurer!
zts668e	Beschütze Mount Krem 2 (Start)
zts669e	<pname>, dank dir ist der Mount Krem nun wieder um einiges sicherer.
zts670e	Catsy-Kampf (Start)
zts671e	Die Darksys sind ein Stamm der Catsys und unterstützen Kenel.
zts672e	Wenn wir die Sicherheit am Mount Krem bewahren wollen, müssen wir sie bekämpfen.
zts673e	Bitte töte die Darksys, die den Shanera Dungeon dominieren!
zts674e	Catsy-Kampf (Abgeschlossen)
zts675e	Gegen die Magie der Darksys zu bestehen, war gewiss nicht leicht, oder? Ich bin dir für deine Mühen so dankbar.
zts676e	Es gibt so viele unschöne Dinge auf dieser Welt ... Und die Untoten gehören definitiv dazu!
zts677e	Sie sind abstoßend und haben überhaupt kein Gespür für Mode! Einfach scheußlich!
zts678e	Wenn einer die Untoten beseitigt, erhält er von mir eine Belohnung dafür.
zts679e	Oh! Vielen Dank, <pname>! Du hast dich um alles gekümmert. Könntest du vielleicht etwas finanzielle Unterstützung gebrauchen?
zts680e	Timespace-Szenario
zts681e	(Als du den Timespace betrittst, überkommt dich plötzlich ein mulmiges Gefühl.)
zts682e	(Die Luft ist feucht und stickig. Das Atmen fällt dir schwer.)
zts683e	Was geht hier nur vor?
zts684e	Bist du wahnsinnig? Was hast du hier unten zu suchen?
zts685e	Hier wurden überall Fallen aufgestellt!
zts686e	Das ist nicht der richtige Ort für einen Grünschnabel wie dich!
zts687e	Du hast dich wacker geschlagen! Das hätte ich dir gar nicht zugetraut.
zts688e	Du möchtest wissen, wie du diesen Ort wieder verlassen kannst?
zts689e	Dazu musst du den Hebel finden und ihn betätigen.
zts690e	Nur dann wird sich die Tür öffnen. Los jetzt, du solltest dich besser beeilen!
zts691e	Du hast es tatsächlich hierher geschafft? Ich bin beeindruckt ...
zts692e	Der Hebel befindet sich im nächsten Raum.
zts693e	Worauf wartest du? Nun geh schon!
zts694e	Der Ausgang kann nicht mehr allzu weit entfernt sein. Und dort drüben ist auch schon der Hebel.
zts695e	Hoffentlich war das auch der Hebel für die Tür nach draußen ...
zts696e	Timespace-Szenario 2
zts697e	(Es herrscht unheimliche Stille in diesem Timespace.)
zts698e	Nahezu eine tödliche Stille... Ich habe ein ungutes Gefühl bei der Sache.
zts699e	Dieser Ort ist wirklich furchterregend. Ich sollte mich nicht zu lange hier aufhalten.
zts700e	Ich kann nirgends eine offene Tür sehen.
zts701e	Bin ich etwa hier drin gefangen?
zts702e	Ah, da drüben! Ein Hebel!
zts703e	Oh je, der Boden fängt an zu beben! Es wird bestimmt bald alles in sich zusammenstürzen!
zts704e	Nichts wie raus hier!
zts705e	In diesem Raum gibt es keinen Ausgang. Ich sollte lieber schnell zurückgehen.
zts706e	Endlich, da vorn ist der Ausgang!
zts707e	Schnell raus hier, bevor es zu spät ist!
zts708e	Timespace-Szenario 3
zts709e	Hm... zwei Wege! Einer muss eine Falle sein.
zts710e	Ich muss mich für einen Weg entscheiden.
zts711e	Fast scheint es, als würde jemand seine Spielchen mit mir treiben.
zts712e	Zwei Hebel ... Einer davon dürfte eine Falle sein.
zts713e	Wenn du dich nicht entscheidest, wird sich die Tür nie öffnen.
zts714e	Sanftes Licht und ein angenehmer Duft ... und ...
zts715e	Timespace-Szenario 4
zts716e	Die Dämonendiener kommen direkt auf mich zu! Hilfe!
zts717e	Sei vorsichtig, diese Biester kennen kein Erbarmen. Achtung, da kommen sie!
zts718e	Es ist noch nicht vorbei!
zts719e	Wir haben es fast geschafft. Mir nach!
zts720e	Wir müssen den Pfad blockieren, durch den diese Monster kommen.
zts721e	Benutze den Hebel, um den Ausgang zu öffnen.
zts722e	Beeilung! Lege den Hebel um, bevor es zu spät ist!
zts723e	Timespace-Szenario 5
zts724e	(Ein eisiger Windhauch streicht an dir vorbei. Dir ist, als könntest du darin Stimmen hören.)
zts725e	Die Monster ... Sie kommen!
zts726e	Sie versuchen, den Timespace zu verlassen ...
zts727e	Irgendetwas hat sie aufgeschreckt. Sie sind in Aufruhr ...
zts728e	(Du siehst einen Verletzten am Boden liegen.)
zts729e	Dieser Geruch ist irgendwie merkwürdig ... Aber davon lasse ich mich nicht abschrecken! Ich werde herausfinden, was hier los ist!
zts730e	Ein Monster! Ein schreckliches Monster! Es kommt hierher ...
zts731e	Renn weg, solange du noch kannst! Sonst wird es dir wie all den anderen Abenteuern gehen, die vor dir hier waren ...
zts732e	(Er verliert das Bewusstsein ... Vermutlich kommt er nicht allzu bald wieder zu sich.)
zts733e	Denkst du elender kleiner Wurm etwa, du könntest mich aufhalten?!
zts734e	Argh! Er ist zu stark! Ich kann ihn nicht bezwingen!
zts735e	Wache 1: Helft dem Abenteurer!
zts736e	Wache 2: Dieses Monster kann was erleben!
zts737e	Wache 3: Zum Angriff!!!
zts738e	Wache 1: Der Sieg ist unser!
zts739e	Wache 2: Dem haben wir es gezeigt!
zts740e	Wache 3: Das Monster ist vernichtet!
zts741e	Ein derart mächtiges Monster habe ich noch nie gesehen. Irgendetwas stimmt hier nicht ... Aber wer steckt nur dahinter?
zts742e	Timespace-Szenario 6
zts743e	Sämtliche Wege wurden ohne ersichtlichen Grund geöffnet.
zts744e	Die Spalte des Timespaces wackelt. Es scheint als würde es sehr bald kollabieren.
zts745e	Wir müssen uns beeilen!
zts746e	Da vorn sehe ich einen Hebel!
zts747e	Vielleicht bringt der mich ja hier raus.
zts748e	(Als der Kampf vorbei ist, entdeckst du den versteckten Ausgang.)
zts749e	(Es scheint der einzige Weg nach draußen zu sein.)
zts750e	Timespace-Szenario 7
zts751e	Puhh... hier weht ein starker Wind. Ich kann mich kaum auf den Beinen halten.
zts752e	Dieser Timespace ist äußerst instabil. Was geschieht hier?
zts753e	Ich muss etwas dagegen unternehmen!
zts754e	Dort ist ein kleiner Pfad... Er strahlt eine mysteriöse Energie aus!
zts755e	Könnte das ein Ausgang sein?
zts756e	So ein Mist! Er ist verschlossen.
zts757e	Hier muss es irgendwo einen Mechanismus geben, der die Tür öffnet.
zts758e	Ich sehe eine große Steinskulptur. Hm... vielleicht sollte ich versuchen, sie zu bewegen.
zts759e	Der starke Wind schwächt sich plötzlich zu einer sanften Brise ab.
zts760e	Einige Siegel scheinen sich geöffnet zu haben.
zts761e	(Eine warme Brise streicht deine Wange entlang.)
zts762e	Auf einmal ist es völlig windstill... Das Siegel hat sich geöffnet!
zts763e	Ich sollte nun den Ausgang suchen!
zts764e	Der Weg ist frei!
zts765e	Irgendjemand hat diese magische Skulptur erschaffen und damit den Timespace gekrümmt. Wer auch immer dafür verantwortlich ist, er spielt mit dem Leben der Bewohner dieser Welt.
zts766e	Ich muss ihn finden und stoppen!!!
zts767e	Timespace-Szenario 8
zts768e	Imps in einem Timespace ...
zts769e	Wir haben es gefunden!
zts770e	Ergreife es! Lass es nicht entwischen!
zts771e	Argh ... Es ist wieder weg!
zts772e	Es ist entkommen!!!
zts773e	Verdammt ... Entwischt!
zts774e	Ahhh ... Ich habe es verpasst!
zts775e	Fast!!!
zts776e	Hilf mir!!! Hilfe!!!
zts777e	Wo bist du?
zts778e	Ah, da bist du ... Ich komme!
zts779e	Verdammt! Beim nächsten Mal!
zts780e	Halt!!
zts781e	Die sind schnell wie der Wind ...
zts782e	Ich danke dir! Du hast mein Leben gerettet!
zts783e	Geht es dir gut?
zts784e	Ich bin okay ... Aber diese kleinen Monster scheinen eine echte Bedrohung darzustellen. Wir müssen sie unbedingt beseitigen!
zts785e	Ich nehme umgehend die Verfolgung auf!
zts786e	Ich helfe dir dabei!
zts787e	Imp 1: Darauf habe ich gewartet!!
zts788e	Imp 2: Die Feinde meines Freundes!!!
zts789e	Vernichten wir sie!!
zts790e	Puh ... Das war knapp!
zts791e	Es ist noch nicht vorbei! Schau nach Osten!!
zts792e	Im Osten erscheint ein geheimer Durchgang.
zts793e	Dort liegt ihre Basis!
zts794e	Die Zeit läuft ab! Beeilung!!
zts795e	Um diese Störenfriede kümmern wir uns ein anderes Mal!
zts796e	Timespace-Szenario 10
zts797e	(Du hörst ein seltsames Knirschen!)
zts798e	Ich muss herausfinden, was hier los ist und etwas dagegen unternehmen. Die Welt ist in großer Gefahr, das spüre ich.
zts799e	Du bist auch wegen diesem komischen Geräusch hier? Dann hilf mir!
zts800e	Du musst das Siegel verschließen, sonst werden diese Monster NosVille überrennen!
zts801e	Was soll ich tun?
zts802e	Geh und verschließe die fünf Pfade. Ich werde dir im Kampf gegen die Monster helfen!
zts803e	Jemand hat das Siegel gebrochen und jetzt herrscht hier das totale Chaos.
zts804e	(Das Knirschen wird etwas leiser.)
zts805e	(Aber der Timespace bebt immer noch!)
zts806e	(Es sind immer noch heftige Erschütterungen zu spüren.)
zts807e	(Das Knirschen wird leiser und leiser.)
zts808e	(Das Knirschen wird noch ein wenig leiser.)
zts809e	Fast geschafft!
zts810e	(Das Knirschen hat aufgehört.)
zts811e	(Du hast alle Pfade verschlossen.)
zts812e	Ich sehe den Ausgang. Los, lass uns hier verschwinden.
zts813e	Super!! Du hast es geschafft!
zts814e	Du warst mir eine große Hilfe. Wie heißt du?
zts815e	Mein Name ist Bob und ich unterrichte Kampfkunst in NosVille.
zts816e	Diese chaotische Welt hat mich hierhergeführt.
zts817e	Warte! Pass auf!
zts818e	Danke, dass du mich gerettet hast. Ich glaube, wir sind hier fertig.
zts819e	Ich werde jetzt nach NosVille zurückkehren. Leb wohl.
zts820e	Ich hoffe, dass wir uns einmal unter anderen Umständen wiedersehen.
zts821e	Bob ist ein mutiger Mann. Es gibt heutzutage leider nur noch wenige von seiner Sorte.
zts822e	Ich fühle, dass etwas Gewaltiges auf uns zukommt.
zts823e	Timespace-Szenario 11
zts824e	Die Wachen wirken irgendwie nervös.
zts825e	Sie scheinen von ihrer Mission nicht sonderlich begeistert zu sein ...
zts826e	Ich sollte mich mal mit ihnen unterhalten.
zts827e	Wache 1: Die Kovolts erheben sich!
zts828e	Wache 2: Mir gefällt diese Mission ganz und gar nicht. Die Kovolts haben uns schon oft genug in einen Hinterhalt gelockt.
zts829e	Wache 3: Ich wünschte, ich wäre zu Hause in meinem Bett!
zts830e	Wache 4: Wenn diese Mission endlich vorbei ist, suche ich mir eine andere Arbeit!
zts831e	Die Verteidigungslinie wurde durchbrochen!!
zts832e	Lasst uns hinunter gehen und die Bergarbeiter gefangen nehmen!
zts833e	Expy-Bergmann 1: Ihr miesen Schergen Lord Cuarrys!
zts834e	Expy-Bergmann 2: Dafür werdet ihr büßen!
zts835e	Expy-Bergmann 1: Warum greift ihr uns an?
zts836e	Expy-Bergmann 2: Wir haben euch doch nichts getan!
zts837e	Expy-Bergmann 3: Das ist einzig und allein Lord Cuarrys Schuld!
zts838e	Die Bergleute sehen sehr erschöpft aus.
zts839e	Kann man wirklich die Bergleute für all das verantwortlich machen?
zts840e	Timespace-Szenario 12
zts841e	Der Angriff der Monster hat begonnen.
zts842e	Niemand kann für deine Sicherheit garantieren.
zts843e	Wenn du Zweifel hast, solltest du jetzt besser umkehren!
zts844e	Mit Angsthasen können wir nichts anfangen, wir brauchen echte Kämpfer!
zts845e	Lass dir das vom Hauptmann der NosVille-Wache gesagt sein.
zts846e	Wir müssen uns zurückziehen! Weiterkämpfen ist sinnlos!
zts847e	Die NosVille-Wache wurde vernichtend geschlagen.
zts848e	Die Lage in NosVille und in der Umgebung des Fernonvorpostens ist nun chaotischer und gefährlicher als je zuvor.
zts849e	Was sollen wir jetzt tun?
zts850e	Das sind schwere Zeiten. Es kommen große Herausforderungen auf alle Abenteurer zu!
zts851e	Timespace-Szenario 13
zts852e	Sieht aus, als hätte hier ein heftiger Kampf stattgefunden. Aber keine Spur von Bob.
zts853e	Ich muss wohl weitersuchen. Bob muss hier irgendwo sein.
zts854e	Die Monster sind vollständig ausgelöscht ...
zts855e	Deswegen ist es hier auch so still ...
zts856e	Weißt du, wo Bob ist?
zts857e	Als ich ihn das letzte Mal gesehen habe, hat er ein paar Monster verfolgt.
zts858e	Das war der letzte Raum. Und auch hier ist niemand.
zts859e	Bob muss doch hier irgendwo sein ...
zts860e	Vielleicht sollte ich mal diesen Hebel benutzen.
zts861e	Endlich! Da ist Bob ja!
zts862e	Er ist von Monstern umzingelt!
zts863e	Ich muss ihm unbedingt helfen!
zts864e	Du hast mich gerettet! Vielen Dank!
zts865e	Diese Monster haben mich in eine Falle gelockt ...
zts866e	Ist bei dir alles in Ordnung?
zts867e	Mir geht es gut. Ich muss nun wieder zurück und mehr von diesen Monstern jagen.
zts868e	Hältst du das für eine gute Idee? Diesmal hattest du zwar Glück, aber ... Hey, komm zurück!
zts869e	Er rennt herum und tut so, als würde er mich nicht hören ... Dieser Kerl bringt mich noch zur Weißglut!
zts870e	Er will einfach nicht stehen bleiben!
zts871e	Timespace-Szenario 14
zts872e	Eine Gruppe von Kovolts macht sich zum Angriff bereit!
zts873e	Die Kovolts stehen Lord Cuarrys Rittern gegenüber.
zts874e	Ich bin mir sicher, dass Krispo hier irgendwo gefangen gehalten wird.
zts875e	Ich muss die Verteidigungslinie der Kovolts durchbrechen und Krispo suchen!
zts876e	Oh je, der Eingang ist eingestürzt!
zts877e	Hier ist es ganz schön dunkel und nebelig... Ah, da ist ja Krispo!! Zum Glück lebt er noch!
zts878e	Da bist du ja, Krispo! Ich bin gekommen, um dich hier rauszuholen!
zts879e	*hust*
zts880e	Lass uns von hier verschwinden!
zts881e	*hust* Nichts lieber als das, aber leider gibt es da ein Problem: Der Eingang ist eingestürzt!
zts882e	Wir sitzen hier fest!
zts883e	Ah, sieh doch!! Ein Spalt in der Wand. Da sollten wir durchpassen!
zts884e	*atemlos* Ich kann nicht mehr! Ich bin so müde! Ich gebe auf! Geh ohne mich weiter!
zts885e	Da vorne ist der Ausgang! Komm schon, wir haben es gleich geschafft. Ich lass dich nicht hier zurück!!
zts886e	Timespace-Szenario 16
zts887e	Dies ist das Land der Angst und Bitterkeit!
zts888e	Ist das die Heimat der Dämonen? Ich könnte genauso gut in der Hölle sein!
zts889e	Hellord-Soldaten!! Kommt zu mir!
zts890e	Der Fluchtweg ist offen!
zts891e	Oje, ein unversiegelter Durchgang! Die Monster gelangen dort hindurch!
zts892e	Wir müssen diesen Durchgang versiegeln!
zts893e	Wer wagt es, mich zu stören?
zts894e	Timespace-Szenario 17
zts895e	Keine Monster in Sicht!
zts896e	Jemand muss sie erledigt haben.
zts897e	Ob das wohl Ritter Tom war?
zts898e	Wen haben wir denn hier? Ein dummer, kleiner Abenteurer!
zts899e	Dieses eine Mal verzeihe ich dir noch.
zts900e	Aber du hättest besser nicht in mein Jagdrevier eindringen sollen!
zts901e	Ignorierst du etwa meine Warnung?
zts902e	Ich habe nicht richtig aufgepasst! Aber du wirst schon noch sehen...
