zts1e	Teo's Tool Shop
zts830e	Guard 4: When this mission is finally over, I'm going to quit and find a new job!
zts831e	The defensive lines have been broken!
zts832e	Let's get down there and round up some miner prisoners!
zts833e	Expy Miner 1: You're just Lord Cuarry's lackeys!
zts834e	Expy Miner 2: You'll pay for your crimes!
zts835e	Expy Miner 1: Why are you attacking us?
zts836e	Expy Miner 2: We did nothing wrong!
zts837e	Expy Miner 3: This is all Lord Cuarry's fault!
zts838e	The miners appear to be exhausted.
zts839e	Can we really blame the miners for all this?
zts840e	Time-Space Scenario 12
zts841e	The monsters have started their attacks.
zts842e	No one can guarantee your safety.
zts843e	If you're afraid, you should probably turn back now!
zts844e	We don't have time for cowards here, we need real warriors!
zts845e	And that's coming straight from the Captain of the NosVille Guards.
zts846e	We must retreat! It would be useless to continue this fight!
zts847e	The NosVille Guards have been absolutely decimated.
zts848e	The situation in NosVille and around the Fernon Outpost is more chaotic and dangerous than ever before.
zts849e	What should we do now?
zts850e	These are difficult times. Every adventurer must prepare themselves for some tough challenges ahead!
zts851e	Time-Space Scenario 13
zts852e	Looks like a major battle took place here. But there's no sign of Bob.
zts853e	I'll have to keep searching. Bob must be around here somewhere!
zts854e	The monsters have been completely annihilated...
zts855e	That's why it's so quite now.
zts856e	Do you know where Bob is?
zts857e	The last time I saw him, he was being chased by some monsters.
zts858e	That was the last room, and there's no one here either.
zts859e	But Bob must be around here somewhere!
zts860e	Maybe I should try using this lever.
zts861e	Finally! There's Bob!
zts862e	He's surrounded by monsters!
zts863e	I have to help him!
zts864e	You saved me! Thank you!
zts865e	The monsters lured me into a trap...
zts866e	Are you alright?
zts867e	Yes, I'm fine. I need to go back now and hunt some more of those monsters.
zts868e	Do you think that's really such a good idea? You were lucky this time round, but next time... hey, where are you going?
zts869e	There he goes, running off, pretending not to hear anything... That guy drives me mad!
zts870e	Why can't he stay still for one minute?
zts871e	Time-Space Scenario 14
zts872e	A group of Kovolts are making ready to attack!
zts873e	The Kovolts are confronting Lord Cuarry's Knights.
zts874e	I'm sure Krispo is trapped somewhere around here.
zts875e	I need to break through the Kovolts' defences and find Krispo!
zts876e	Oh no, the entrance has caved in!
zts877e	It's very dim and murky down here... oh look, there's Krispo! Good job he's still alive.
zts878e	There you are, Krispo! I'm here to rescue you!
zts879e	*cough*
zts880e	Come on, let's go.
zts881e	*cough* There's nothing I'd love to do more, but there's a little problem... the entrance has caved in!
zts882e	We're stuck here!
zts883e	Oh, look here! There's a gap in the wall, we should be able to squeeze through here.
zts884e	*out of breath* I can't go on. I'm so tired... I give up! Go on without me!
zts885e	Finally, there's the exit! Come on, we've nearly made it. I'm not leaving you behind now!
zts886e	Time-Space Scenario 16
zts887e	This land is full of fear and hatred!
zts888e	Is this the home of the demons? I could just as well be in hell itself!
zts889e	Soldiers of Hellord! Come to me!
zts890e	The way out is open!
zts891e	Oh no, an unsealed pathway! And the demon armies are coming through it!
zts892e	We must seal the pathway!
zts893e	Who dares to disturb me?
zts894e	Time-Space Scenario 17
zts895e	No monsters in sight!
zts896e	Someone must have eliminated them.
zts897e	I wonder if that was Tom the knight?
zts898e	Well, well, well. What do we have here? A silly little adventurer!
zts899e	I will forgive you this time.
zts900e	But you'd better not come to my hunting place again!
zts901e	Are you ignoring my warning?
zts902e	I was careless? We'll soon see about that...
zts903e	You again! Just you wait, you don't deserve any better!
zts904e	I will never forget the insult I got today!
zts905e	Hey, I don't have any intention of fighting you!
zts906e	You are so arrogant! One day you will regret that!
zts907e	Time-Space Scenario 18
zts908e	Those dour knights are bound to refuse me entry.
zts909e	This place must hide a secret, that much is clear!
zts910e	Knight 1: Keep out!
zts911e	Knight 2: Get out of here!
zts912e	Knight 3: Don't come any closer!
zts913e	Knight 1: Are you ignoring our warning?
zts914e	Knight 2: You aren't allowed in here!
zts915e	(Lord Cuarry's Knights are barring your way. You'll have to find another route!)
zts916e	(This room is filled with a terrible stench.)
zts917e	Something's coming... something dangerous!
zts918e	We're not going to put up with you poking your nose around here any more!
zts919e	Leave here right now!
zts920e	T... Tom!
zts921e	I don't want to have to bury you here.
zts922e	I'm a knight, so just do what I say! Run for it! Run as fast as you can!
zts923e	But all the exits are blocked. There's no way out!
zts924e	Then come over here.
zts925e	Tom whispers something and a secret path opens up.
zts926e	Time-Space Scenario 19
zts927e	You again? I don't have time to play silly games. I'll see you later.
zts928e	There are too many enemies. Run away!
zts929e	No! I'll help you.
zts930e	You're insulting my honour. Get out of my face!
zts931e	You look pretty rough.
zts932e	(Tom gets a pill from his pocket and puts it in your hand. It will make you feel better.)
zts933e	Don't worry, I won't laugh. You had to put up with a lot.
zts934e	You're a brave warrior with a big heart. You've earned my respect.
zts935e	But you also insulted my honour, and one day you will pay for that!
zts936e	Time-Space Scenario 20
zts937e	Please save us!
zts938e	Where's that voice coming from?
zts939e	I'm down here, in the cellar! The demons captured me during the battle.
zts940e	Demons? What demons?
zts941e	Yes! The demons running riot all over the place.
zts942e	But why?
zts943e	Free me and I'll tell you more. Please, let's get out of here!
zts944e	Alright. What do I need to do?
zts945e	There's some kind of mechanism which gives you access to the cellar. Use that and you can set us free!
zts946e	Alright, just hold on!
zts947e	Be on your guard! There are monsters literally everywhere around here.
zts948e	Hmm... there's a big lever in the middle there. Maybe that's what activates the mechanism?
zts949e	Looks like it worked. I should get back to that room.
zts950e	Wow, you managed it!
zts951e	Yes, fortunately!
zts952e	We should make tracks before any more monsters appear. Hurry!
zts953e	What's going on here exactly?
zts954e	Have you noticed how there are more and more Time-Space Stones appearing around NosVille? Somehow, these monsters can control them. But sadly I don't know what exactly they're planning...
zts955e	What do you mean?
zts956e	Well, I overheard some of their conversations. You know about that Kovolt strike, right? It appears these monsters had a hand in it!
zts957e	What? That's madness! But why? Why on earth would they come here to both the people?!
zts958e	Unfortunately, I can't say. But we need to hurry! Not even the two of us together have a hope of standing against all those monsters.
zts959e	Time-Space Scenario 21
zts960e	There you are. About time we settled our old feud!
zts961e	I'll wait for you in the final room of the Time-Space!
zts962e	Feel my sword!
zts963e	You have beaten me. Please, give me an honourable end!
zts964e	Hey, haven't you ever realised that we could be friends, you and I?
zts965e	???
zts966e	There's no reason for us to fight.
zts967e	Of course there is! I'm a great warrior, my honour compels me to fight you. Now finish it!
zts968e	No, I can't do that!
zts969e	You insult me! I will never forget this!
zts970e	Tom's disappeared. I hope I made the right decision.
zts971e	Time-Space Scenario 22
zts972e	Attack! Kill the Kovolts!
zts973e	No one can defeat us!
zts974e	Shut up and taste my sword!
zts975e	We'll be back! We'll never be defeated! Never!
zts976e	Knights' Captain: We shall destroy all these Kovolts, the miners and Koaren alike! Well fought, men! Victory belongs to Lord Cuarry!
zts977e	All Knights: Glory to Lord Cuarry!
zts978e	Knights' Captain: Let us return triumphant!
zts979e	What's going on here? Where's your pride?
zts980e	We obey Lord Cuarry's orders unconditionally. His word is our command!
zts981e	But he wants to lead the demons here!
zts982e	The demons are creatures of darkness and destruction. They will send this world to oblivion!
zts983e	We cannot allow them to invade.
zts984e	Don't be such a fool! We can make use of these demons.
