zts1e	Магазин инструментов Тео (использование)
zts2057e	Меня зовут Катриша де Блэккапучино, я - Принцесса Даркси и глава ордена рыцарей черных ботинок.
zts2058e	Это ты спасла меня?
zts2059e	Конечно.
zts2060e	Почему ты это сделала?
zts2061e	Чтобы закончить историю вражды между нашими народами.
zts2062e	Ради мира.
zts2063e	Хммм?
zts2064e	Я дам тебе жизнь Элитного Молотильщика Кенко.
zts2065e	А если я откажусь?
zts2066e	Ты думаешь, я пойду на компромисс с Катси, чтобы спасти себя и свой народ?
zts2067e	Но если это единственный способ спасти Себя и Своих братьев.
zts2068e	Сим я постановляю, что ковольты и кэтси заключили мир. А теперь я ухожу. Пока.
zts2069e	Подожди!
zts2070e	Войска Кенко на подходе.
zts2071e	А?
zts2072e	Я также сделаю тебе подарок и помогу тебе защититься от них!
zts2073e	Катриша: Это честь для меня!
zts2074e	Но это вне моей власти. Могу я использовать силу рыцарей ордена Черноботов?
zts2075e	Конечно.
zts2076e	Вот и спуск.
zts2077e	*Вздох* Наконец нашли!
zts2078e	Ого! Темная колдунья Роуз!
zts2079e	Хаха.. Это ты? Пэтти?
zts2080e	Лучше следи за языком. Я не забываю плохое.
zts2081e	(Сенил презрительно смеется). Во мне нет уважения к тому, кто предает принцессу.
zts2082e	Стой... Прекрати!
zts2083e	Давай не будем тратить драгоценное время на споры. Главное сейчас - спасти ее.
zts2084e	Вы не... Не хотите присоединиться к нам?
zts2085e	..Хм.. Ладно, так как Принцесса в опасности...
zts2086e	Иди дальше.
zts2087e	После того, как мы спасли ее высочество, я не могу обещать, что жизнь этого человека будет в безопасности.
zts2088e	Хорошо, как ты хочешь.
zts2089e	Что... Что это значит?!
zts2090e	Эй, грязные ковольты! Покажите, на что вы способны!
zts2091e	Хм... мы должны там пройти.
zts2092e	Их слишком много! Мы не можем терять здесь больше времени. Оставим это светлым колдуньям Бутона Розы.
