zts1e	새로운아이템
zts533e	좋은 캐츠아이목걸이
zts534e	좋은 캐츠아이 반지
zts535e	좋은 캐츠아이 팔찌
zts536e	고급 캐츠아이 목걸이
zts537e	고급 캐츠아이 팔찌
zts538e	수정 목걸이
zts539e	수정 반지
zts540e	수정 팔찌
zts541e	좋은 수정목걸이
zts542e	좋은 수정 반지
zts543e	좋은 수정 팔찌
zts544e	고급 수정 반지
zts545e	고급 수정 팔찌
zts546e	다이아몬드 목걸이
zts547e	다이아몬드 반지
zts548e	다이아몬드 팔찌
zts549e	좋은 다이아목걸이
zts550e	좋은 다이아반지
zts551e	좋은 다이아팔찌
zts552e	고급 다이아목걸이
zts553e	고급 다이아반지
zts554e	고급 다이아팔찌
zts555e	가벼운장갑
zts556e	튼튼하지만 가벼운 장갑이다[n]회피를 조금 높여준다[n][n]
zts557e	실크장갑
zts558e	부드러운 느낌의 고급스러워보이는 장갑[n]마법공격력을 높여준다[n][n]
zts559e	매직장갑
zts560e	마법의 기운이 들어있어 MP의 양을 높여준다[n][n]
zts561e	라이트 건틀렛
zts562e	근접방어력이 다른 장갑에 비해서 높다.[n][n]
zts563e	패스트 글러브
zts564e	공기의 저항을 전혀 받지 않도록 제작되었다[n][n]
zts565e	배틀 건틀렛
zts566e	근접 방어력이 다른 장갑에 비해서 높다.[n][n]
zts567e	체인 건틀렛
zts568e	검을 다루는 사람들에게 인기있다[n][n]
zts569e	플래쉬 글러브
zts570e	라이트부츠
zts571e	발목까지 감싸주는 가벼운 부츠[n][n]
zts572e	패스트 슈즈
zts573e	이동속도가 증가한다[n]하지만 다른 방어 능력은 아무것도 없다.[n][n]
zts574e	체인 부츠
zts575e	괜찮은 방어능력을 보여주는 부츠[n][n]
zts576e	스킨 부츠
zts577e	고대 마물의 껍질로 만들어 졌다고 전해지는 부츠[n]마법공격을 흡수하는 능력이 있다[n][n]
zts578e	스틸 부츠
zts579e	보호의 부츠
zts580e	바람의 부츠
zts581e	묵직한 금속부츠
zts582e	화덕용 장갑
zts583e	손이 뜨겁지 않도록 보호해준다[n][n]
zts584e	빛나는 장갑
zts585e	빛의 기운으로 보호받는 장갑이다[n][n]
zts586e	바람의 장갑
zts587e	착용시 산들바람이 손을 감싸듯이 시원하다.[n]회피능력이 있다.[n][n]
zts588e	저항의 장갑
zts589e	암흑 글러브
zts590e	어둠의 기운이 깃든 장갑이다.[n][n]
zts591e	검정신발
zts592e	워터 슈즈
zts593e	추가적인 물저항력이 있다.[n][n]
zts594e	스팟 부츠
zts595e	빛의 기운이 깃들어 있다.[n][n]
zts596e	화염 부츠
zts597e	불의 기운이 부츠속에 맴돌고 있다.[n][n]
zts598e	심해의 부츠
zts599e	어둠의 기운을 품고 있으며 빛에 대한 저항도 증가한다.[n][n]
zts600e	불속성 페어리
zts601e	[페어리의 속성능력][n]오랫동안 페어리를 데리고 전투를[n]벌이면 페어리의 [속성능력]이[n]점점 좋아집니다.[n]속성능력은 추가적인 공격력으로[n]작용하며 플레이어의 공격력에서[n]속성능력만큼의 퍼센트가[n]추가 속성기운으로 더해지게 됩니다.[n][페어리의 기분][n]처음에는 기분이 좋지 않아 자신이 가진[n]속성 능력의 일부만 부여해줍니다.[n]하지만, 시간이 지나면[n]기분이 좋아지게 되고,[n]그때는 자신의 능력을 100% 발휘합니다.[n][페어리의 먹성][n]페어리는 기분이 좋아진지[n]30분마다 음식을 찾습니다.[n]이때 플레이어의 인벤토리에[n]음식이 1개도 없으면,[n]페어리는 바로 삐져서[n]기분이 다시 나빠지게 됩니다.[n]페어리의 기분을 맞춰주려면[n]음식을 항상 준비해 놓으세요.[n][n]
zts602e	물속성 페어리
zts603e	빛속성 페어리
zts604e	어둠속성 페어리
zts605e	파자마 카드
zts606e	아버지는 말하셨지- 인생을 즐겨라!!![n]즐기면서 사는 인생- 다시 시작이다!![n][n]
zts607e	워리어 카드
zts608e	불속성 스페셜리스트 카드[n][n]오로지 전진 뿐!![n]무거운 양손 검을 휘두르며 전장을 종횡무진 누비는[n]강력한 파이터!!![n][n]
zts609e	블레이드 카드
zts610e	물속성 스페셜리스트 카드[n][n]그 무엇이라도 갈라버리는 예리한 한줄기 검기!![n]살기 가득한 두 눈동자를 가진 무자비한 검객!![n][n]
zts611e	레인저 카드
zts612e	물속성 스페셜리스트 카드[n][n]벼락과도 같이 내리치는 화살의 폭풍우![n]날쌘 손놀림을 가진 세계제일의 사냥꾼!!![n][n]
zts613e	어쌔신 카드
zts614e	어둠속성 스페셜리스트 카드[n][n]짙은 어둠의 그림자 속에 감추어진 소름끼치는 살기!!![n]정해진 먹잇감은 절대 놓치는 법이 없는 상처입은 야수!!![n][n]
zts615e	레드매지션 카드
zts616e	불속성 스페셜리스트 카드[n][n]파괴와 소멸의 신봉자!![n]타오르는 화염을 위해 영혼까지도 팔아버린 불꽃의 화신!![n][n]
zts617e	홀리메이지 카드
zts618e	빛속성 스페셜리스트 카드[n][n]빛과 질서와 균형의 신봉자.[n]어머니 에레니아의 뜻을 존중하는 지혜의 마법사.[n][n]
zts619e	파트너용 근접무기
zts620e	파트너용 원거리무기
zts621e	파트너용 마법무기
zts622e	파트너용 방어구(정신)
zts623e	파트너용 방어구(민첩)
zts624e	파트너용 방어구(신체)
zts625e	당기는 레버(작동전)
zts626e	낡은상자
zts627e	작은 HP 회복제
zts628e	사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts629e	중간 HP 회복제
zts630e	큰 HP 회복제
zts631e	작은 MP 회복제
zts632e	중간 MP 회복제
zts633e	큰 MP 회복제
zts634e	작은 전체 회복제
zts635e	중간 전체 회복제
zts636e	큰 전체 회복제
zts637e	매우큰 전체 회복제
zts638e	혼돈의 씨앗
zts639e	다음과 같은 상황에 필요하다.[n]1. 사망후 제자리 부활시 : 10개[n]2. 시공의 돌 입장시 : 정해진 개수[n]3. 펫과 파트너 사망후 부활하려면 : 5개[n]4. 임무 도중 취소를 하려면 : 5개[n][n]
zts640e	길리온스톤
zts641e	정제제를 이용해 정제하면 소울젬, 셀론, 수정을 얻을 수 있다.[n]정제방법은 정제제를 구입해 더블클릭하면 된다.[n][n]
zts642e	셀라가루
zts643e	다음과 같은 일을 할때 필요하다.[n]1. 장비 강화시.[n]2. 소울젬, 셀론, 수정 업그레이드시.[n][n]
zts644e	소울젬
zts645e	장비 강화에 사용된다[n]+1..+5까지 올릴 수 있다[n][n]
zts646e	완전한 소울젬
zts647e	장비 강화에 사용된다[n]+6..+10까지 올릴 수 있다[n][n]
zts648e	1Lv 셀론
zts649e	액세서리에 1레벨 옵션을 추가시켜준다.[n][n]
zts650e	2Lv 셀론
zts651e	액세서리에 2레벨 옵션을 추가시켜준다.[n][n]
zts652e	3Lv 셀론
zts653e	액세서리에 3레벨 옵션을 추가시켜준다.[n][n]
zts654e	4Lv 셀론
zts655e	액세서리에 4레벨 옵션을 추가시켜준다.[n][n]
zts656e	5Lv 셀론
zts657e	액세서리에 5레벨 옵션을 추가시켜준다.[n][n]
zts658e	6Lv 셀론
zts659e	액세서리에 6레벨 옵션을 추가시켜준다.[n][n]
zts660e	7Lv 셀론
zts661e	액세서리에 7레벨 옵션을 추가시켜준다.[n][n]
zts662e	8Lv 셀론
zts663e	액세서리에 8레벨 옵션을 추가시켜준다.[n][n]
zts664e	9Lv 셀론
zts665e	액세서리에 9레벨 옵션을 추가시켜준다.[n][n]
zts666e	10Lv 셀론
zts667e	액세서리에 10레벨 옵션을 추가시켜준다.[n][n]
zts668e	도나강의 모래
zts669e	각종 물품을 생산할때 필수적으로 필요하다.[n][n]
zts670e	초승달의 수정
zts671e	미니랜드에 사용된다.[n][젬,셀론,수정 생산도구]를 이용해 수정 조각으로 나눌 수 있다.[n][n]
zts672e	반달의 수정
zts673e	미니랜드에 사용된다.[n][n]
zts674e	보름달의 수정
zts675e	붉은 수정조각
zts676e	생산에 사용된다.[n][n]
zts677e	푸른 수정조각
zts678e	백색 수정조각
zts679e	검은 수정조각
zts680e	모험가 생산도구
zts681e	모험가가 사용할수 있는 물품을 생산한다.[n]더블클릭하면 목록이 나온다.[n][n]
zts682e	소울젬 정제제
zts683e	길리온 스톤과 사용시 셀라가루, 소울젬을 얻을 수 있다[n]셀라가루와 소울젬은 무기/의상 강화시 사용된다.[n]더블클릭하면 사용된다.[n][n]
zts684e	셀론 정제제
zts685e	길리온 스톤과 사용시 셀라가루, 셀론을 얻을 수 있다[n]셀라가루는 무기/의상 강화시 사용된다.[n]셀론은 액세서리에 옵션을 추가할 때 사용된다.[n]더블클릭하면 사용된다.[n][n]
zts686e	수정 정제제
zts687e	길리온 스톤과 사용시 셀라가루, 수정을 얻을 수 있다[n]셀라가루는 무기/의상 강화시 사용된다.[n]수정은 미니랜드와 생산에 이용된다.[n]더블클릭하면 사용된다.[n][n]
zts688e	검사 생산도구
zts689e	검사가 사용할수 있는 물품을 생산한다.[n]더블클릭하면 목록이 나온다.[n][n]
zts690e	궁사 생산도구
zts691e	궁사가 사용할수 있는 물품을 생산한다.[n]더블클릭하면 목록이 나온다.[n][n]
zts692e	주술사 생산도구
zts693e	주술사가 사용할수 있는 물품을 생산한다.[n]더블클릭하면 목록이 나온다.[n][n]
zts694e	일반상자
zts695e	고급상자
zts696e	비밀의 상자
zts697e	당기는 레버(작동후)
zts698e	골드
zts699e	액세서리 생산도구
zts700e	각종 액세서리를 생산한다.[n]더블클릭하면 목록이 나온다.[n][n]
zts701e	신비한 수정구(작동전)
zts702e	신비한 수정구(작동후)
zts703e	보너스 상자
zts704e	누르는버튼(작동전)
zts705e	누르는버튼(작동후)
zts706e	나무 레버(작동전)
zts707e	나무 레버(작동후)
zts708e	악마의 석상(작동전)
zts709e	악마의 석상(작동후)
zts710e	봉인된 열쇠
zts711e	듀크의 연구재료
zts712e	연구소의 설립자인 대마법사 듀크가[n]연구중이던 재료들이다.[n]사용용도는 알수 없다.[n][n]
zts713e	아티펙트
zts714e	공격력증강
zts715e	방어력증강
zts716e	근접방어증강
zts717e	원거리방어증강
zts718e	마법방어증강
zts719e	무한 MP
zts720e	초강력기운
zts721e	전체 회복
zts722e	무작위 상자
zts723e	노스메이트부활
zts724e	이동력 강화
zts725e	무적 쉴드
zts726e	젬,셀론,수정 생산도구
zts727e	완전한 소울젬 업그레이드[n]각 레벨셀론 업그레이드[n]수정 업그레이드가 가능하다.[n][n]
zts728e	원재료 생산도구
zts729e	금속바, 나무, 천, 가죽같은 원재료의 품질을 높일수 있다.[n][n]
zts730e	회복 캡슐
zts731e	미니랜드클릭
zts732e	매우큰전체회복제??
zts733e	스페셜카드
zts734e	스페셜포인트 충전제
zts735e	추가 스페셜 포인트(SP)가 10000 포인트 상승한다.[n][n]
zts736e	랜드포인트 충전제
zts737e	퀵타임 스톤
zts738e	피크닉 바구니
zts739e	최고 3명까지 춤을 출 수 있다[n][n]
zts740e	새끼돼지 통구이
zts741e	최고 8명까지 춤을 출 수 있다[n][n]
zts742e	장갑,신발 생산도구
zts743e	간단한 푯말
zts744e	30분동안 다른 사람이 미니랜드에[n]들어올수 있도록 푯말을 세운다.[n]조금 빈티나게 생겼다.[n][n]
zts745e	집모양 푯말
zts746e	30분동안 다른 사람이 미니랜드에[n]들어올수 있도록 푯말을 세운다.[n]집모양으로 예쁘게 생겼다.[n][n]
zts747e	야생 소리꽃
zts748e	소리꽃
zts749e	퀘스트를 부여해 준다.[n][n]
zts750e	골드 보상
zts751e	완료시 일정량의 골드를 얻는다[n][n]
zts752e	경험치 보상
zts753e	완료시 일정량의 경험치를 얻는다[n][n]
zts754e	직업경험치 보상
zts755e	완료시 일정량의 직업 경험치를 얻는다[n][n]
zts756e	명성 보상
zts757e	완료시 일정량의 명성을 얻는다[n][n]
zts758e	파티 시공의돌 조각
zts759e	더블클릭하면 임무를 볼 수 있다.[n][n]
zts760e	개인 시공의돌 조각
zts761e	더블클릭하면 임무를 볼 수 있다[n][n]
zts762e	레이드 시공의 돌 조각
zts763e	사냥전용 시공의돌 조각
zts764e	연구소 시공의돌 조각
zts765e	포인트증가
zts766e	더블클릭하세요
zts767e	꼬닭의 깃털
zts768e	라텍스 젤리
zts769e	안쓰는해골머리
zts770e	거미군단 Part 2
zts771e	잭스파이더 인장얻기 시공의 돌[n]제한레벨 : 60-69[n]사용시 바로 입장이 가능하다.[n][n]
zts772e	레인 스킨
zts773e	해당 파트너를 클릭후 스킨을 더블클릭하면[n]멋진 모습으로 바뀐다.[n]사용시 이동속도가 2 상승한다.[n]단, 파트너 보관구슬에 보관시 스킨이 사라지므로[n]주의해야 한다.[n][n]
zts774e	과거의 굴레 Part2
zts775e	자이센로드 인장얻기 시공의 돌[n]제한레벨 : 40-49[n]사용시 바로 입장이 가능하다.[n][n]
zts776e	과거의 굴레 Part 3
zts777e	송편
zts778e	추석이벤트용 물품.[n]10개를 모아서 에릴카운터에게 주면 달링을 받을 수 있다.[n][n]
zts779e	N (이벤트)
zts780e	사용시 HP와 MP가 2000씩 상승한다.[n]N,O,S,! 아이템을 모두 모으면 보너스 아이템을 받을 수 있다.[n]이 아이템은 이벤트 종료시 사라진다.[n](종료일 11월 21일)[n][n]
zts781e	O (이벤트)
zts782e	사용시 10분간 전투 경험치 획득량이 10% 상승한다.[n](단, 사망시에는 효과가 사라진다)[n]N,O,S,! 아이템을 모두 모으면 보너스 아이템을 받을 수 있다.[n]이 아이템은 이벤트 종료시 사라진다.[n](종료일 11월 21일)[n][n]
zts783e	S (이벤트)
zts784e	사용시 10분간 공격력이 20% 상승한다.[n](단, 사망시에는 효과가 사라진다)[n]N,O,S,! 아이템을 모두 모으면 보너스 아이템을 받을 수 있다.[n]이 아이템은 이벤트 종료시 사라진다.[n](종료일 11월 21일)[n][n]
zts785e	! (이벤트)
zts786e	N,O,S 아이템이 한개씩 있는 경우 이 아이템을 사용하면[n]기본SP가 10000으로 충전되고 보너스 아이템을 얻게 된다.[n]이 아이템은 이벤트 종료시 사라진다.[n](종료일 11월 21일)[n][n]
zts787e	듀크의 연구논문
zts788e	듀크가 자신의 연구에 대해 상세히 적어놓은[n]논문자료다.[n]하지만 너무나도 어려운 학술적 내용때문에[n]하나도 이해할 수 없다.[n][n]
zts789e	순정의 백합꽃
zts790e	즉석 SP 충전카드
zts791e	에레니아의 메달
zts792e	사용시 30일간 다음 기능이 부여된다.[n][주요효과][n]장비, 주요, 기타 인벤토리의 보유량이 8칸씩[n]총 24칸이 증가한다.[n](모험가의 메달과 같이 사용시 32칸 증가)[n][부가효과][n]전투경험치 획득량이 15% 상승한다.[n]직업경험치 획득량이 15% 상승한다.[n]펫과 파트너의 획득경험치가 15% 상승한다.[n](모험가의 메달과 같이 사용시 30% 상승)[n]골드 획득량이 20% 상승한다.[n]명성 획득량이 20% 상승한다.[n][주의사항][n]기간이 끝나면 늘어났던 인벤토리의 물건은 뺄수 없게된다.[n]기간이 끝나기 전에 꼭 아이템 정리를 하는것이 좋다.[n][n]
zts793e	모험가의 메달
zts794e	사용시 30일간 다음 기능이 부여된다.[n][주요효과][n]장비, 주요, 기타 인벤토리의 보유량이 4칸씩[n]총 12칸이 증가한다.[n](에레니아의 메달과 같이 사용시 32칸 증가)[n][부가효과][n]전투경험치 획득량이 15% 상승한다.[n]직업경험치 획득량이 15% 상승한다.[n]펫과 파트너의 획득경험치가 15% 상승한다.[n](에레니아의 메달과 같이 사용시 30% 상승)[n][주의사항][n]기간이 끝나면 늘어났던 인벤토리의 물건은 뺄수 없게된다.[n]기간이 끝나기 전에 꼭 아이템 정리를 하는것이 좋다.[n][n]
zts795e	자기소개서
zts796e	사용시 자기소개글을 30자 이내로 기록할 수 있다.[n][사용 및 확인 방법][n]자기소개서를 더블클릭후 글자를 입력한다.[n]입력후 확인을 하고 싶으면 게임화면의[n]자기 초상화를 오른클릭하면 된다.[n][n]
zts797e	작은 스페셜 충전제
zts798e	모든 HP가 회복된다.[n]부가적으로 SP포인트가 30000 증가한다.[n][n]
zts799e	중간 스페셜 충전제
zts800e	모든 HP/MP가 회복된다.[n]부가적으로 SP포인트가 70000 증가한다.[n][n]
