zts1e	밀라노 장비상점 (사용)
zts627e	어이~ 누가 좀 도와줘! 광산에 있는 코볼트 광부들좀 몰아내 달라고~!
zts628e	고마워, 덕분에 상황이 조금 나아지겠네.
zts629e	코볼트 전투1 (시작)
zts630e	셀빅입니다. 노스캠프에서 코아렌 병사들에게 현상금을 걸었습니다.
zts631e	관심있으신 모험가 분들은 참고하시기 바랍니다.
zts632e	코볼트 전투1 (완료)
zts633e	수고 많으셨습니다.
zts634e	코볼트 전투2 (시작)
zts635e	셀빅입니다. 노스캠프에서 켄코 병사들에게 현상금을 걸었습니다.
zts636e	코볼트 전투2 (완료)
zts637e	연금술협회 아르바이트1 (시작)
zts638e	헤헤, 안녕하세요. 필요한게 있는데 누가 갖다 주면 좋겠는데 헤헤.
zts639e	연금술협회 아르바이트1 (완료)
zts640e	헤헤 고마워요. 근데 이거 왜 주는거죠?
zts641e	아 맞다. 감사합니다 헤헤.
zts642e	연금술협회 아르바이트2 (시작)
zts643e	연금술협회 아르바이트2 (완료)
zts644e	연금술협회 아르바이트3 (시작)
zts645e	연금술협회 아르바이트3 (완료)
zts646e	연금술협회 아르바이트4 (시작)
zts647e	연금술협회 아르바이트4 (완료)
zts648e	연금술협회 아르바이트5 (시작)
zts649e	연금술협회 아르바이트5 (완료)
zts650e	연금술협회 아르바이트6 (시작)
zts651e	연금술협회 아르바이트6 (완료)
zts652e	연금술협회 아르바이트7 (시작)
zts653e	연금술협회 아르바이트7 (완료)
zts654e	연금술협회 아르바이트8 (시작)
zts655e	연금술협회 아르바이트8 (완료)
zts656e	은밀한 주문1 (시작)
zts657e	아무것도 묻지마! 그냥 내가 잡아달라고 하는 펫만 잡아다 주면돼. 오케이?
zts658e	은밀한 주문1 (완료)
zts659e	수고했어! 얼른 가!
zts660e	아무것도 묻지마. 그냥 내가 잡아달라고 하는 펫만 잡아다 주면돼. 오케이?
zts661e	크렘산지보호임무1(시작)
zts662e	무법천지가 되어버린 크렘산지.
zts663e	불쌍한 코아렌 일가를 위해서라도 모험가 분들의 도움이 필요해요~
zts664e	크렘산지보호임무1(완료)
zts665e	코볼트들이 정말로 많이 고마워 하고 있답니다. 좋은일 해주셔서 감사해요.
zts666e	크렘산지보호임무2(시작)
zts667e	크렘산지에는 정말 끔찍한 몬스터들이 많이 있어요~ 모험가 여러분 도와주세요!
zts668e	크렘산지보호임무2(완료)
zts669e	크렘산지의 위험이 많이 감소한것 같아요. <pname>님 감사합니다.
zts670e	캐트시 전투 (시작)
zts671e	캐스티의 한 일파인 다크시들은 지금 케넬을 돕고 있습니다.
zts672e	크렘산지의 안전을 위해서는 부득이하게 그들과 싸울 수밖에 없네요.
zts673e	쉐인라 던전을 장악하고 있는 다크시들을 물리쳐 주세요.
zts674e	캐트시 전투 (완료)
zts675e	다크시들의 마법때문에 고생 많으셨죠? 수고하셨습니다.
zts676e	흠, 난 말이에요 세상에서 가장 싫은게 몇 개 있는데 그중 하나가 언데드 들이에요.
zts677e	그 고약한 몰골에 개념없는 패션들~ 아우~ 몸서리쳐져!
zts678e	누군가 언데드들을 물리쳐준다면 그만큼의 보답을 하겠어요.
zts679e	어머, 고마워요 <pname>님. 손수 이런일을 다 해주시고. 요즘 좀 궁하신가봐요?
zts680e	시공 시나리오
zts681e	축축한 공기...
zts682e	바람이 없다. 묵직하고 끈적끈적한 기분.
zts683e	과연 무슨 일이 벌어지고 있는 것일까.
zts684e	자네 제 정신인가?
zts685e	여긴 곳곳이 함정이라구!!
zts686e	자네같은 풋내기가 들어올 곳이 아니야!
zts687e	또 만났군. 겁없는 친구!
zts688e	이곳을 빠져나가고 싶나?
zts689e	그렇다면 어딘가에 있는 레버를 당기라구!!
zts690e	그러면 출구가 열릴걸세.
zts691e	아직 살아있는건가? 제법 운이 좋군 그래…
zts692e	이 옆방으로 가면 레버가 있을거야.
zts693e	어서 여기를 빠져나가게!
zts694e	빛이다. 그리고 눈 앞에 레버가 보인다.
zts695e	여기가 바로 출구인 것인가... 하지만...
zts696e	시공 시나리오2
zts697e	아무 소리도 들리지 않는다.
zts698e	무얼까. 이 지독한 적막함 뒤에 숨어있는 것 같은 어둠...
zts699e	느낌이 좋지 않다. 여서 여기를 빠져나가자.
zts700e	출구가 없는 막다른 길. 어떻게 된걸까?
zts701e	과연 여기를 빠져나갈 수 있을까.
zts702e	아, 저기에 레버가 있다!!
zts703e	공간이 흔들리기 시작한다. 곧 무너질 것만 같다!!
zts704e	어서 탈출해야만 한다!!!
zts705e	막다른 길.. 다시 돌아가야만 한다. 서두르자!!
zts706e	시공을 빠져나갈 수 있는 출구가 눈 앞에 있다!
zts707e	어서 여기를 빠져나가자!!
zts708e	시공 시나리오3
zts709e	양갈래 길이다. 분명 둘 중 하나는 함정.
zts710e	선택을 기다리고 있는 두 개의 통로…
zts711e	왠지 누군가를 비웃고 있는 듯 하다.
zts712e	레버 두 개가 보인다. 분명 둘 중 하나는 함정이다.
zts713e	하지만 선택하지 않으면 잠긴 문은 열리지 않는다.
zts714e	부드러운 빛과 기분 좋은 향기… 그리고…
zts715e	시공 시나리오4
zts716e	많은 마물들이 몰려나오고 있네!! 나를 도와주게!!
zts717e	긴장해!! 수많은 마물들이 이곳으로 오고 있다구!!!
zts718e	아직 끝이 아니야!!!
zts719e	겨우 정리된 것 같군. 나를 따라오게나.
zts720e	마물들이 나타나는 통로를 막아야만 하거든.
zts721e	저 레버를 당기면 통로가 봉인되는 거야!!
zts722e	어서 당기라구!!
zts723e	시공 시나리오5
zts724e	불길한 바람이 모험가에게 이야기한다.
zts725e	마물들이 이곳으로 몰려들고 있다…
zts726e	시공 밖으로 빠져 나오려 하는 것이 아니다…
zts727e	그들은 무언가에 쫓기고 있다. 흥분해 있고, 매우 흉폭하다…
zts728e	부상당한 모험가의 모습이 보인다.
zts729e	이 공간의 이상한 냄새… 그 단서를 얻을 수 있을 듯 싶다.
zts730e	무서운 놈이 나타났어요…
zts731e	어서 도망가시오… 쿨럭쿨럭!!
zts732e	그는 곧 정신을 잃는다… 아무리 보아도 가망이 없다.
zts733e	가소로운 놈!
zts734e	크윽!! 가, 강하다!!! 도저히 이길 수가 없어!!
zts735e	수비대1 : 모험가를 구하라!!
zts736e	수비대2 : 마물을 공격하라!!
zts737e	수비대3 : 적을 쓰러뜨려라!!
zts738e	수비대1 : 이겼다!!!
zts739e	수비대2 : 우리가 쓰러뜨렸다!!!
zts740e	수비대3 : 마물이 쓰러졌다!!!
zts741e	심상치 않은 조짐이다. 이렇게까지 강력한 마물은 근래들어 처음이다. 알 수 없는 힘이 시공의 틈을 왜곡하고 있는 것이 분명하다… 과연 누가 이런 일을 벌이고 있는 것인가.
zts742e	시공 시나리오6
zts743e	그 어떠한 단서도 없는 사방이 열린 길.
zts744e	곧이라도 무너질 듯 시공의 틈이 요동을 친다.
zts745e	서둘러야만 한다!!
zts746e	의심스러워보이는 레버가 있다.
zts747e	출구를 찾을 힌트가 될 수 있을지도 모르겠다!!!
zts748e	격렬한 전투가 끝나자, 여지껏 보이지 않던 출구가 서서히 모습을 드러내기 시작한다!
zts749e	바로 저기가 이곳을 빠져나갈 수 있는 유일한 출구다!!!
zts750e	시공 시나리오7
zts751e	강한 바람이 몰아친다. 똑바로 서 있을 수가 없을 정도다.
zts752e	시공이 틈이 이 정도로까지 불안정했던 적은 이번이 처음이다…
zts753e	어떤 식으로든 대책을 세워야만 한다!!!
zts754e	정면으로 알 수 없는 기운을 뿜어내는 통로가 보인다.
zts755e	여기가 바로 출구인가…
zts756e	하지만 현재는 막혀있는 상태다.
zts757e	어딘가에 통로를 열 수 있는 장치가 있을 것이다.
zts758e	거대한 석상이 보인다. 혼자 힘으로 움직일 수 있을 것 같다.
zts759e	강풍이 멎었다. 향기로운 바람이 분다.
zts760e	봉인의 일부가 해제된 것 같다.
zts761e	따뜻한 바람이 볼을 간지럽힌다.
zts762e	차분해진 공기. 봉인이 풀렸음이 확실하다!!
zts763e	이제 출구를 찾자!!
zts764e	정면의 통로가 활짝 열려 있다.
zts765e	이곳은 누군가가 만들어놓은 석상의 힘으로 비틀려버린 공간이었던 듯… 분명 누군가 이 세계의 생명을 놓고 장난을 치고 있다.
zts766e	그를 찾아야 한다. 그를 막아야만 한다!!
zts767e	시공 시나리오8
zts768e	임프가 날뛰고 있는 시공…
zts769e	어서 찾아내지 않으면 안된다.
zts770e	잡아라!! 놓치면 안된다!!
zts771e	제길, 두고보자!!
zts772e	도, 도망쳤군!!!
zts773e	제길… 두고보자!!
zts774e	크윽.. 놓쳤다!!
zts775e	아깝다!!!
zts776e	살려줘!!! 살려줘어!!!!
zts777e	어디지?
zts778e	남쪽인가!!
zts779e	제길!! 두고보자!!
zts780e	기다렷!!
zts781e	임프는 바람처럼 사라져 버렸다…
zts782e	정말 고맙구먼. 자네 덕택에 살았어!!
zts783e	별 일 없으신 거지요?
zts784e	별 일은 없지만... 저 꼬마악마를 어서 처치하지 않으면 위험해 질 것 같군 그래!!
zts785e	지금 당장 쫓아 가겠어요!!
zts786e	나도 돕도록 하지!!!
zts787e	임프1 : 기다리고 있었다!!
zts788e	임프2 : 내 친구의 원수!!!
zts789e	자, 한 놈 씩 처치하자구!!
zts790e	휴우~ 겨우 해치웠어요!!
zts791e	아직 끝이 아니네! 동쪽을 보게!!
zts792e	동쪽으로 숨겨져 있던 통로가 서서히 나타난다…
zts793e	저기가 놈들의 본거지야!
zts794e	자, 얼마 안남았으니 어서 서두르자구!!
zts795e	이제 당분간은 이 말썽꾸러기들 볼 일은 거의 없을꺼야!!
zts796e	시공 시나리오10
zts797e	시공이 부서지는 소리가 귓가를 울린다.
zts798e	원인을 찾아 복구하지 않으면 세계가 위험하다!! 서두르자!!
zts799e	시공이 무너지는 소리를 듣고 오신건가요?  그렇다면 저를 도와주세요!!
zts800e	어서 봉인을 막지 않으면 마물들이 밀라노 마을로 쏟아져 나갈겁니다!!
zts801e	무엇을 도와드리면 되는 건가요?
zts802e	제가 이곳에서 마물들을 막고 있을테니 곳곳에 흩어져 있는 다섯 개의 봉인을 잠그세요!!
zts803e	누군가가 일부러 봉인을 풀어버린 탓에 시공의 혼돈이 시작된거랍니다!!
zts804e	시공이 부서지는 소리가 작아졌다.
zts805e	하지만 아직 시공의 울림이 강하게 느껴진다.
zts806e	시공의 울림은 여전히 강하다.
zts807e	울림이 점점 미약해지고 있다.
zts808e	시공이 부서지는 소리가 희미해진다.
zts809e	얼마 남지 않았다.
zts810e	시공이 부서지는 소리가 사라졌다.
zts811e	모든 봉인이 잠겼다!!
zts812e	없었던 출구가 나타났다. 어서 여기를 빠져나가자.
zts813e	성공이네요!! 정말 대단했어요!!
zts814e	당신의 이름이...  어떻게 되시나요?
zts815e	제이름은 레인!! 밀라노마을에서 무술을 수련중이지요!!
zts816e	요즘 세상이 어수선한 탓에 여기까지 오게 되었답니다.
zts817e	앗! 조심해요!!!
zts818e	큰일날 뻔 했네요. 덕분에 살았어요. 아무튼 여기도 대충 정리된 듯 하군요.
zts819e	이만 돌아가야겠어요. 그럼 저는 이만…
zts820e	언젠가 인연이 되면 다시 만나겠지요!!
zts821e	레인이 떠나갔다... 요즘 보기 드문 용기있는 젊은이...
zts822e	무언가 좋은 인연의 예감이 든다.
zts823e	시공 시나리오11
zts824e	초조한 표정의 수비대원들이 곳곳에 있다.
zts825e	그들도 자신들의 임무가 그다지 마음에 들지는 않는 듯…
zts826e	일단 그들과 대화를 나눠보자.
zts827e	수비대1 : 코볼트들의 저항이 너무 거세다니까!!
zts828e	수비대2 : 이번 임무는 도저히 마음에 들지 않아. 코볼트들의 말에도 일리는 있다구.
zts829e	수비대3 : 아~~ 집에 가서 잠이나 늘어지게 잤으면 좋겠구만!!
zts830e	수비대4 : 이 지긋지긋한 임무만 끝나면 수비대건 뭐건 간에 당장 때려칠테다!!!
zts831e	농성단의 방어선이 뚫렸다!!
zts832e	어서 윗층으로 올라 고참광부들을 진압하자!!
zts833e	고참광부1 : 에잇! 로펠로의 앞잡이들!!
zts834e	고참광부2 : 너희를 용서하지 않겠다!!
zts835e	고참광부1 : 너는 왜 우리를 공격하는 거지?
zts836e	고참광부2 : 우리는 아무 잘못이 없다!!
zts837e	고참광부3 : 나쁜 것은 로펠로! 로펠로다!!
zts838e	피로에 찌든 광부들의 얼굴…
zts839e	과연 이들에게 잘못이 있다 말할 수 있을까?
zts840e	시공 시나리오12
zts841e	공고 - 마물들의 습격이 시작되었습니다.
zts842e	그 어느 누구도 당신의 안전을 책임져주지 않습니다.
zts843e	두렵다면 지금이라도 당장 이곳을 떠나셔도 좋습니다.
zts844e	지금 우리에게 필요한 것은 어설픈 모험가가 아닌 진짜 전사들이니까요!!
zts845e	- 밀라노수비대장 백.
zts846e	후, 후퇴해야만 한다!! 더 이상 싸우는 것은 의미가 없다!!!
zts847e	밀라노수비대의 처절한 패배…
zts848e	이후 밀라노와 엘스턴은 보다 혼란스럽고 위험해질 것이다…
zts849e	과연 이제부터는 어떻게 해야만 할까…
zts850e	모험가 모두에게 큰 숙제와 짐이 주어진 셈이다.
zts851e	시공 시나리오13
zts852e	참혹한 전투의 흔적. 레인의 흔적은 온데 간데 없다.
zts853e	당황하지말고 차분해지자. 레인은 분명 이 곳에 있다.
zts854e	이곳의 마물들은 대부분 전멸했다..
zts855e	그래서 이렇게 조용했던 것이군요…
zts856e	아, 혹시 레인은 어디에?
zts857e	도망치는 마물들을 뒤쫓아가는 것을 본 후로 나도 아무런 소식을 듣지 못했군.
zts858e	막다른 텅 빈 방. 이 방이 마지막이다.
zts859e	레인은 과연 어디로 간 것인가…
zts860e	방 중앙에 레버 하나만 덩그마니 보인다.
zts861e	한 복판에 쓰러져 있는 레인…
zts862e	그를 수많은 마물들이 둘러싸고 있다!
zts863e	레인을 구출해야만 한다!!
zts864e	덕분에 살았습니다. 고마워요.
zts865e	도망치는 마물들을 쫓아 너무 깊숙히 들어왔다가… 함정에 빠지고 말았죠.
zts866e	몸은 괜찮으신가요?
zts867e	크게 다친 곳은 없네요. 아무튼 저는 좀 더 마물들을 찾아봐야겠어요.
zts868e	그 몸으로는 무리예요! 돌아오세요!!
zts869e	못들은 척 바쁘게 뛰어가는 레인... 왠지 부끄러운 탓일까.
zts870e	그를 붙잡을 수가 없다.
zts871e	시공 시나리오14
zts872e	코볼트들이 대규모 시위중이다…
zts873e	현재 로펠로친위대들과 심하게 충돌하고 있는 상황.
