zts1e	Milano Tool Shop (Use)
zts853e	Let's take it easy. Rhain is here, I am sure.
zts854e	All the Demons here have been eliminated!
zts855e	That's why it is so quiet now.
zts856e	Where is Rhain?
zts857e	I've heard nothing since the last time I saw him chasing the runaway Demons.
zts858e	The empty room with a dead end. It's the last one.
zts859e	Where on earth is Rhain?
zts860e	Just one lever is seen in the middle of the room.
zts861e	Rhain fell down in the middle.
zts862e	Many people are gathering around him.
zts863e	We must rescue him!
zts864e	You saved me. Thank you.
zts865e	I fell into the trap. I came too far to chase the runaway demons.
zts866e	Are you alright?
zts867e	I am fine. I will go back to search for more demons.
zts868e	No! You should rest. You will hurt yourself! Come back!!
zts869e	Rhain runs always, pretending not to hear anything. Is it because he is shy?
zts870e	It is impossible to catch him.
zts871e	Scenario of TimeSpace 14
zts872e	A group of Kovolts are striking.
zts873e	The Kovolts are confronting the guards of Sir Lopello.
zts874e	I'm sure the mine manager is caught in between somewhere.
zts875e	Let's break in and go find him!
zts876e	Once we get in, the entrance collapses.
zts877e	Musty air and dim lights!! The manager is here!
zts878e	Are you there? I came here to rescue you!
zts879e	*Coughing*
zts880e	Let's get out of here!
zts881e	*Coughing* No, we can't. The entrance has collapsed!
zts882e	We are stuck here!
zts883e	There will be a way out through the basement. Let's hurry!
zts884e	*Out of breath* I can't! I am so tired! I give up!
zts885e	Here is the entrance! Wake up!
zts886e	Scenario of TimeSpace 16
zts887e	This is the land of fear and sadness.
zts888e	It is the land of Demons. This might be hell.
zts889e	Hellrod Soldiers! Come to me!
zts890e	The pathway to escape is open!
zts891e	Unsealed pathway! Through it, the army of the Demon is coming.
zts892e	We must seal the pathway!
zts893e	Who is interrupting me?
zts894e	Scenario of TimeSpace 17
zts895e	There is no trace of the Demons.
zts896e	Everything seems to be cleaned up.. by someone.
zts897e	Is it Kevin, the Black Knight?
zts898e	Oh, I see. It was a stupid adventurer!
zts899e	Ok, I will forgive you just this time.
zts900e	But you'd better not come to my hunting place again!
zts901e	Are you ignoring my warning?
zts902e	I was careless. Let's see!!
zts903e	I will not forgive you.
zts904e	I will never forget the insult I got today!
zts905e	Hey, I do not have any intention to fight you.
zts906e	You are so arrogant!! You will regret it someday!
zts907e	Scenario of TimeSpace 18
zts908e	The guards are standing still with rigid faces. They don't seem to let us in.
zts909e	But the one thing is certain. There is some hidden secret in this place.
zts910e	Knight 1: Do not come in!
zts911e	Knight 2: Do not come in!
zts912e	Knight 3: Do not come in!
zts913e	Knight 1: Are you ignoring our warning?
zts914e	Solder 2: You cannot pass through.
zts915e	Lopello's knights blocks us. Well, we don't have any other option. Let's take another way.
zts916e	Space is being twisted and it stinks!
zts917e	Something's coming.. It is very dangerous!!
zts918e	You are not allowed to interrupt anymore!
zts919e	Leave here right now!
zts920e	Ke.. Kevin!
zts921e	I am not going to bury you here.
zts922e	I am a warrior. I will make you get down on your knees in front of me! Run!! Run away!!
zts923e	Everything is blocked! There is no places to run away to!
zts924e	Come here!
zts925e	When Kevin says this, a hidden pathway opens up.
zts926e	Scenario of TimeSpace 19
zts927e	You again? No time to play around with you. I will see you later.
zts928e	There are so many enemies. Go away!!
zts929e	I will help you!
zts930e	You insulted me! Just go away!
zts931e	What a pathetic guy!! Get up!
zts932e	Kevin takes out the pill from his pocket. Slowly, coming to myself. I barely survived
zts933e	You saved me twice! I am not going to laugh at you. So, do not worry.
zts934e	You were the brave warrior and I respect your brave soul.
zts935e	Take care. I will take your life someday.
zts936e	Scenario of TimeSpace 20
zts937e	Rescue us!
zts938e	Who is that?
zts939e	I am in the basement of the place you are standing. I got caught by the Demons during the war.
zts940e	De.. Demons?
zts941e	Yes, Demons! The Demons are controlling their minions around the village.
zts942e	But, why?
zts943e	I will tell you about it in detail when you get me out of here. Just rescue us!
zts944e	What should I do?
zts945e	There are equipment to open the basement. Make all the functions work. Then, the door will open.
zts946e	Ok, just wait.
zts947e	Watch out! This place is full of Demons.
zts948e	A huge lever is seen in the middle. Is this part of that equipment?
zts949e	I think the tool is working now. Let's go back to the previous room.
zts950e	Thank you! I am alive!
zts951e	Yes.. you are so lucky!
zts952e	We should leave here before other Demons come. Hurry!
zts953e	But why you are so scared?
zts954e	Did you ever notice that the Stones of TimeSpace are increased in the area of Elstern? The Demons are controlling this. But I do not know the reason.
zts955e	What?
zts956e	I did hear what the Demons were talking about. Also, you know the strike of the Kovolts? The Demons are involved in that too.
zts957e	No way! Why? Why on earth did they come all the way here to do harmful things to the people? They are completely unrelated to Elstern.
zts958e	This is as far as I know. Hurry! We cannot beat up those Demons even if we all use our power.
zts959e	Scenario of TimeSpace 21
zts960e	Here you are. We will settle down our old revenge!!
zts961e	I will await you in the last room of TimeSpace!!
zts962e	Take my sword!
zts963e	I lost. Kill me with honor!
zts964e	Hey, why have you always thought that we could never be friends?
zts965e	..
zts966e	There was no reason for us to fight.
zts967e	I am the great warrior. That's why I want to fight you. That's it! For the sake of my honor, kill me.
zts968e	No, I cannot!
zts969e	And then, I will hate you forever.
zts970e	The great warrior disappears. Did I make the right decision?
zts971e	Scenario of TimeSpace 22.
zts972e	Destroy Kovolts!! Eliminate all of them!
zts973e	Nobody can defeat us!!
zts974e	Shut up and take my sword!
zts975e	Soon there will be KrrKoaren coming back! We are not going to lose. We never lose!!
zts976e	Knights Captain: All the Kovolts will be dead. Great work!! This victory is dedicated to Sir Lopello!!
zts977e	All Knights: Hail Sir Lopello!
zts978e	Knights Captain: Let's go back!
zts979e	Where's your pride? What happened?
zts980e	Only an order from Sir Lopello will move us. If he asks us to do something, we must carry it out!
zts981e	But it doesn't mean that he can bring the Demons here!
zts982e	You do not know about the Demons? The creatures of sin and destruction. They will drive this world to destruction!!
zts983e	We can't allow them to step in Elstern.
zts984e	Guard: What a fool!! The Demons have always been with me.
zts985e	It doesn't matter whether they are Gods of destruction or not. We are just borrowing their power.
zts986e	The Kovolts are not as small as before. Their power has grown. We cannot defeat them on our own! Don't think too much about it, my fellow.
zts987e	There is only one law among us. The orders of Sir Lopello come first. If you are not following his words, then.
zts988e	Then?
zts989e	Then, you betray him!!
zts990e	I was a warrior before coming to the guards of Lopello. I cannot lie to my conscience.
zts991e	Let's attack that betrayer!!
zts992e	Ahhh~
zts993e	Are you ok?
zts994e	Why are you helping me?
zts995e	Because I believe we are friends.
zts996e	.. We are not friends. I do not like you.
zts997e	Well, I know that well!
zts998e	But at last, you killed me. My pride as a warrior was killed when you saved my life. Now my body is nothing but an an empty shell. I do not even deserve revenge. I will give myself to you. Now, I belong to you!!
zts999e	What the heck are you talking about?
zts1000e	I will become your right arm. The rest of my life will be for you!
zts1001e	Scenario of TimeSpace 24
zts1002e	The battle is still going on. The guards of Milano and the armed forces of KrrKoaren are fighting fiercely!!
zts1003e	It's war!! Let's go and fight!!
zts1004e	Get rid of all those enemies!!
zts1005e	Retreat!!
zts1006e	Those enemies are retreating. Go and chase them!
zts1007e	Eaaww~
zts1008e	Hey, wake up!!
zts1009e	Ah~
zts1010e	Let's run away! It's too dangerous here.
zts1011e	Knights Captain: Now, we will attack those Kovolts! Follow me!!
zts1012e	Knights: *Shouting*
zts1013e	Knights Captain: Losers! Give us way!! Do not get in our way!
zts1014e	Guard 1: What are those Demons doing?
zts1015e	Guard 2: Did Sir Lopello employ those Demons?
zts1016e	Guard 1: It's such nonsense. Hire those Demons to kill handful of Kovolts?
zts1017e	Demons coming here. Kovolts protesting and striking. Elstern has never been more chaotic! What brought the Demons here? Are the Kovolts protesting only for the unfair treatment in the mines? Who's right and who's wrong?
zts1018e	Scenario of TimeSpace 25
zts1019e	Empty space. There is no one around. No wind. Only silence. It does not feel right. It seems like something bad is about to take place.
zts1020e	You are arrested.
zts1021e	Scenario of TimeSpace 26
zts1022e	Knights Captain: We are not going to leave until we completely destroy those Kenko.
zts1023e	Knights: May God bless Sir Lopello!!
zts1024e	Kenko: You idiots! Dream on!
zts1025e	Let's kill all enemies!!
zts1026e	Haha!! You have been trapped by my special plans. Brothers of Kenko!! Let's show these cowards the flames of fury!! All attack!!
